name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Galaxy Cafe,"1000 West Lynn St, 78703",,,,,american,,,,yes,,restaurant,
The Omelettry,"4631 Airport Boulevard, Austin, TX, 78751",+1-512-453-5062,info@theomelettry.com,http://www.theomelettry.com,07:00-15:00,breakfast,yes,yes,,yes,"Cash, Mastercard, Visa",restaurant,
EZ's Brick Oven & Grill,EZ's Brick Oven & Grill,,,,,,,,,,,restaurant,
Banzai Sushi & Grill,Banzai Sushi & Grill,,,,,,,,,,,restaurant,
Oakmont Food Company,"1106 West 38th Street, Austin, TX",+1 512-433-6011,,https://oakmontfood.com/,Su 8:00-16:00;Mo 10:00-15:00;We-Th 10:00-21:00;Fr-Sa 8:00-21:00,brunch,,,,yes,,restaurant,
Kerbey Lane Cafe,"3704 Kerbey Lane, Austin, 78731",,,https://kerbeylanecafe.com/,,regional,yes,,,limited,"Credit Cards, Debit Cards",restaurant,
Sip Pho,"512 W;512 West 29th Street, Austin, TX, 78705",+1-512-551-9778,,https://www.sippho.com/,Mo-Su 09:00-21:00,vietnamese,,,,,,restaurant,
Cabo Bob's,Cabo Bob's,,,,,,,,,,,restaurant,
Trudy's Texas Star,Trudy's Texas Star,,,,,,,,,,,restaurant,
Mi Madre's,"2201 Manor Road, Austin, TX, 78722",+1-512-480-8441,,https://www.mimadresrestaurant.com/,,mexican,,,,,,restaurant,
WhipIn,WhipIn,,,,,indian,,,,,,restaurant,convenience
Masa y Mas,Masa y Mas,,,,,mexican;tacos,,,,,,restaurant,
Sazon,"1816 South Lamar Boulevard, 78704",+1-512-326-4395,,,,mexican,,,,,,restaurant,
Curra's Grill,Curra's Grill,,,,,mexican,,,,,,restaurant,
The Greek Bar,"534 East Oltorf Street, 78704-5639",,,,,greek,,,,,,restaurant,
888 Pan Asian Restaurant,78741,,,,,chinese;vietnamese,,,,,,restaurant,
Thai Fresh,Thai Fresh,,,,,thai,,,,,,restaurant,
Soup Peddler,Soup Peddler,,,,,,,,,,,restaurant,
Polvo's,Polvo's,,,,,mexican,,,,,,restaurant,
Perla's,Perla's,,,,,,yes,,,,,restaurant,
Lenoir,Lenoir,,,,,,,,,,,restaurant,
June's All Day,"1722 South Congress Avenue, Austin, TX",+1-512-416-1722,info@junesallday.com,https://junesallday.com/,"Mo-Fr 11:00-22:00; Sa-Su 09:00-15:00, 16:00-22:00",american,yes,,,,,restaurant,
Woodland,Woodland,,,,,,yes,,,,,restaurant,
Vespaio,Vespaio,,,,,italian,,,,,,restaurant,
El Mercado,El Mercado,,,,,mexican,,,,,,restaurant,
Little Mexico,Little Mexico,,,,,mexican,,,,,,restaurant,
Taqueria Arandas,Taqueria Arandas,,,,,mexican,,,,,,restaurant,
24 Diner,"600 North Lamar Boulevard, Austin, TX, 78703",+1-512-472-5400,info@24diner.com,https://www.24diner.com/,07:00-23:00,diner,,,,yes,,restaurant,
Jeffrey's,Jeffrey's,,,,,,,,,limited,,restaurant,
Asti,"408 C East 43rd Street, 78751",,,https://astiaustin.com/asti/,,italian,,,,,,restaurant,
Hornitos,"3704 North Interstate Highway 35 Service Road, Austin, TX, 78705",+1-512-524-4195,,,Mo-Sa 09:00-21:00; Su 10:00-20:30,mexican,,yes,,yes,,restaurant,
