name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Deep Eddy Cabaret,Address not available,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Posse East,"2900 Duval Street, Austin, TX, 78705",,,,,,yes,,,yes,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Black Sheep Lodge,Address not available,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Kelly's Irish Pub,Address not available,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Opal Devine's,Address not available,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Moonshine Comfort & Cocktails,"303 Red River Street, Austin",,,https://moonshinegrill.com/,,,,,,yes,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Draught House Pub & Brewery,"4112 Medical Parkway, Austin, TX, 78756",,,https://www.draughthouse.com/,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Chicago House,Address not available,,,http://thechicagohouse.com/,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
G & S Lounge,Address not available,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Hole in the Wall,"2538 Guadalupe Street, 78705",,,https://www.theholeinthewallaustin.com/,,,,,,yes,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Hopfields,"3110 Guadalupe Street, Austin, TX, 78705",,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Gourmands Neighborhood Pub,"2316 Webberville Road, Austin, TX, 78702",,,http://www.lovethysandwich.com/,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Cavalier,"2400 Webberville Road, Austin, TX, 78702",,,https://www.thecavalieratx.com/,,,yes,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Front Page,"1023 Springdale Road, Austin, TX, 78721",,,https://www.thefrontpage.pub,Mo-Sa 11:00-24:00; Su 11:00-22:00,sandwich,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
B.D. Riley's Irish Pub,"1905 Aldrich Street, Austin, TX, 78723",,,https://bdrileys.com/,"Mo 16:00-23:00; Tu-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00",,yes,,,,Credit Cards,OpenStreetMap,"30.2711286, -97.7436995",pub,
WhichCraft Tap Room & Bottle Shop,"1900 Simond Avenue, Austin, TX, 78723",,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Scholz Garten,"1607 San Jacinto Boulevard, Austin, 78701",+1 512 4741958,prost@scholzgarten.com,http://www.scholzgarten.com,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00; PH off,,,,,limited,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Pub,"214 West 4th Street, Austin, TX, 78701",,,,Su-Th 11:00-00:00; Fr-Sa 11:00-02:00,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Easy Tiger,"1501 East 7th Street, Austin, TX, 78702",+1-512-839-8523,,https://www.easytigerusa.com/pages/east-austin,,,yes,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Lazarus Brewing Company,"4803 Airport Boulevard, Austin, TX, 78751",+1-512-394-7620,,https://www.lazarusbrewing.com,Mo-Fr 07:30-23:00; Sa 09:00-23:00; Su 09:00-22:00,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Crown and Anchor Pub,"2911 San Jacinto Boulevard, Austin, TX, 78705",+1 512 322-9168,,http://crownandanchorpub.com,Mo-Su 11:00-02:00,fish_and_chips;burger;hot_dog;irish;mexican;sandwich,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Tweedy's Bar,2908 Fruth Street,,,,,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Gibson Street Bar,"1109 South Lamar Boulevard, Austin, TX, 78704, US",+1-512-386-1345,,https://www.gibsonstreetbar.com/,Mo-Th 16:00-26:00; Fr-Su 12:00-26:00,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Foxy's Proper Pub,"201 Brazos Street, Austin, TX, 78701",+15125016713,,https://foxysproperpub.com/,We-Mo 12:00-02:00,,,,,yes,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Tavern,"922 West 12th Street, Austin, TX, 78703",+1-512-320-8377,,https://www.tavernaustin.com/,,,yes,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
The Stay Put,"73 Rainey Street, Austin, TX, 78701",,,,Mo-We 15:00-00:00; Th-Sa 12:00-02:00; Su 12:00-00:00,,,,,,,OpenStreetMap,"30.2711286, -97.7436995",pub,
Molly Bloom's,Address not available,,,,Sa-Th 16:00-22:00+; Fr 12:00-22:00+,,yes,,,limited,,OpenStreetMap,"32.0852997, 34.7818064",pub,
