name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Starbucks,Starbucks,,,https://www.starbucks.com/store-locator/store/16988/royal-hawaiian-shopping-center-2201-kalakaua-ave-honolulu-hi-968155201-us,,coffee_shop,yes,yes,,no,,cafe,
Honolulu Coffee,96815,+1-808-9266162,,https://www.honolulucoffee.com/,Mo-Su 06:00-23:00,coffee_shop,,,,no,,cafe,
Honolulu Coffee Company,Honolulu Coffee Company,,,,,coffee_shop,,,,yes,,cafe,
The Coffee Bean & Tea Leaf,The Coffee Bean & Tea Leaf,,,,,coffee_shop,,yes,,,,cafe,
Java Cafe,Java Cafe,,,,,coffee_shop,,,,,,cafe,
Island Vintage Coffee,Honolulu,,,,,coffee_shop,,,,yes,,cafe,
Morning Glass Coffee + Cafe,"2955 East Manoa Road, Honolulu, 96822",+1 808-673-0065,,https://www.morningglasscoffee.com/,Mo-Fr 07:00-16:00; Sa 07:30-15:00; Su 07:30-18:00,coffee_shop,,,,,,cafe,
Gorilla in the Cafe,Gorilla in the Cafe,,,,,coffee_shop,,,,yes,,cafe,
Cafe Central,Cafe Central,,,,,,,,,,,cafe,
Honolulu Cafe,Honolulu Cafe,,,,,,,,,,,cafe,
Sure Shot Cafe (permanently closed),"1249 Wilder Avenue, Honolulu, HI, 96822",+1 808 523 2326,,,,coffee_shop,,,,yes,,cafe,
Beach Walk Cafe,Beach Walk Cafe,,,,Mo-Su 07:00-23:00,,,,,yes,,cafe,
Rabbit Rabbit Tea,"2700 South King Street, Honolulu, HI, 96826",,,https://rabbitrabbitteahi.com,"Mo-Th,Su 11:00-20:00; Fr-Sa 09:00-21:00",bubble_tea,,yes,,,"Cash, Mastercard, Visa, American Express",cafe,
Kissaten,Kissaten,,,,,,,,,yes,,cafe,
Coffee Beanery,"Honolulu, HI, 96826",,,,,,,,,yes,,cafe,
The Coffee Bean & Tea Leaf,"1450 Ala Moana Boulevard, Honolulu, 96814",,,,,coffee_shop,,yes,,yes,,cafe,
Tropical Tribe,"Honolulu, HI, 96826",,,,07:00-18:00,hawaiian;brazilian,yes,,,yes,"Cash, Credit Cards, Debit Cards",cafe,
Starbucks,"1450 Ala Moana Boulevard, Honolulu, 96814",,,https://www.starbucks.com/store-locator/store/1013600/ala-moana-center-l-1-ewa-wing-1450-ala-moana-blvd-space-1330-honolulu-hi-9681446,,coffee_shop,,yes,,yes,,cafe,
Holoholo Café & Market,Holoholo Café & Market,,,,06:00-24:00,,no,,,yes,"Credit Cards, Debit Cards",cafe,convenience
Coffee or Tea?,"1960 Kapiolani Boulevard, Honolulu, 96826",,,,,,no,,,limited,,cafe,
Kai Coffee,"2250 Kalakaua Avenue, Honolulu, HI, 96817",,,https://kaicoffeehawaii.com/pages/locations,Mo-Su 06:30-21:00,,,,,yes,,cafe,
Musubi & Bento IYASUME,Musubi & Bento IYASUME,,,,07:00-20:00,japanese,,,,,,cafe,
The Hub,The Hub,,,,,,,,,,,cafe,
Dean & Deluca’s,383 Kalaimoku Street,,,,,,yes,,,,,cafe,
Matcha Stand Maiko,Matcha Stand Maiko,,,,,,,,,,,cafe,
Glazer's Coffee,"2700 South King Street, Honolulu, HI, 96826",,,,,coffee_shop,,,,,,cafe,
Organic Cafe,Organic Cafe,,,,,organic,,,,,,cafe,
Andy's,Andy's,,,,,sandwich,,,,,,cafe,
9 Bar Hnl,9 Bar Hnl,,,,,,,,,,,cafe,
Up Roll Café Honolulu,"665 Halekauwila Halekauwila St, Honolulu, HI, 96813",+1-909-475-0099,,https://www.uprollcafe.com/,"Mo - Fr 09:00-21:00, Su 09:00-15:00",sushi,,,,,,cafe,
Island Vintage Coffee,Island Vintage Coffee,,,,,coffee_shop,,,,,,cafe,
Morning Brew Coffee & Bistro,685 Auahi Street,,,,Mo-Su 06:00-18:00,coffee_shop,,,,,,cafe,
The Coffee Bean & Tea Leaf,"2939 Harding Avenue, Honolulu, HI, 96816",,,,,coffee_shop,,yes,,,,cafe,
