name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Ulpan Gordon,Ulpan Gordon,,,,,,,,,,,school,
בית ספר רמת חן לאמנויות ולמדעים,רמת גן,,,https://ramat-chen.tik-tak.net/,,,,,,,,school,
בית ספר הגליל,4 גבעתי,,,,Su-Fr 08:00-16:00,,,,,,,school,
בית ספר נתיב,בית ספר נתיב,,,,,,,,,,,school,
בית ספר כפיר,בית ספר כפיר,,,,,,,,,,,school,
John Bryce,John Bryce,,,,,,,,,,,school,
תל-חי,תל-חי,,,,,,,,,,,school,
מכללת שנקר,מכללת שנקר,,,,,,,,,,,school,
"בי""ס ניצנים","בי""ס ניצנים",,,,,,,,,,,school,
תל נורדאו,תל נורדאו,,,,,,,,,,,school,
Hamatmid,Hamatmid,,,,,,,,,,,school,
אקבן נינג'יטסו AKBAN,294 הירקון,,,,,,,,,,,school,
"חמד""ע",7 הפרדס,03-521-0800,,https://hemda.org.il/,Su-Th 07:30-18:00,,,,,,,school,
תיכון בליך,תיכון בליך,,,,,,,,,,,school,
בית-ספר ארן,בית-ספר ארן,,,,,,,,,,,school,
בית חינוך בית צורי,בית חינוך בית צורי,,,,,,,,,,,school,
ליידי דייוויס,ליידי דייוויס,,,,,,,,,,,school,
בית ספר בן גוריון,בית ספר בן גוריון,,,,,,,,,,,school,
"תיכון חדש, רמת גן","תיכון חדש, רמת גן",,,,,,,,,,,school,
בית ספר עירוני ד',תל אביב-יפו,,,,,,,,,,,school,
"בי""ס גבעת השלום","בי""ס גבעת השלום",,,,,,,,,,,school,
תיכון הולץ,תיכון הולץ,,,,,,,,,,,school,
"בי""ס ממלכתי גורדון",6 הכנסת,,,,,,,,,,,school,
"בי""ס אורה מודיעים","בי""ס אורה מודיעים",,,,,,,,,,,school,
"ביה""ס למדעי הנפט ואסטרטגיה","ביה""ס למדעי הנפט ואסטרטגיה",,,,,,,,,,,school,
ישיבת אוצר התלמוד,123 דרך זאב ז'בוטינסקי,,,,,,,,,,,school,
"בי""ס גבעולים",20 התקוה,+972-3-7514496,givolim2020@gmail.com,https://givolim.tik-tak.net/,,,,,,,,school,
שמעון בן צבי,שמעון בן צבי,,,,,,,,,,,school,
בית ספר אלון,בית ספר אלון,,,,,,,,,,,school,
ברנר,"22 התע""ש, גבעתיים",,,,,,,,,,,school,
בית ספר היובל,תל אביב-יפו,,,,,,,,,,,school,
בית ספר קשת,בית ספר קשת,,,,,,,,,,,school,
בית ספר עציון,בית ספר עציון,,,,,,,,,,,school,
בית הספר טרה סנטה,Tel Aviv,,,,,,,,,,,school,
בית הספר עירוני א,"4 שפרינצק, Tel Aviv, 6473804",,,https://schooly.co.il/ironi-alef/,,,,,,,,school,
"התיכון החדש ע""ש יצחק רבין","התיכון החדש ע""ש יצחק רבין",,,,,,,,,,,school,
תיכון כל ישראל חברים (אליאנס),תיכון כל ישראל חברים (אליאנס),,,,,,,,,,,school,
גיל,גיל,,,,,,,,,,,school,
"בית הספר ""המנחיל""","בית הספר ""המנחיל""",,,,,,,,,,,school,
בית הספר לטבע,בית הספר לטבע,,,,,,,,,,,school,
"בית הספר להיי-טק ואומנויות ע""ש שמעון פרס","בית הספר להיי-טק ואומנויות ע""ש שמעון פרס",,,,,,,,,,,school,
בית ספר הירדן,בית ספר הירדן,,,,,,,,,,,school,
"בי""ס אלחריזי","בי""ס אלחריזי",,,,,,,,,,,school,
בית ספר כצנלסון,"19 המעיין, גבעתיים",,,,,,,,,,,school,
"ביה""ס יהל""ם","ביה""ס יהל""ם",,,,,,,,,,,school,
בית ספר הלל,"44 הגלגל, רמת גן, 5239248",,,https://hilel.tik-tak.net/,,,,,,,,school,
קורצ'אק,קורצ'אק,,,,,,,,,,,school,
עתיד,עתיד,,,,,,,,,,,school,
סמינר גור,סמינר גור,,,,,,,,,,,school,
סמינר וולף,סמינר וולף,,,,,,,,,,,school,
