name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Barbara's,Address not available,,,,Tu-Sa 11:00-22:00; Su 10:00-20:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Corner Bakery,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Marie's Coffee & Deli,"731 West 7th Street, Los Angeles, CA, 90017",+12136225283,,https://mariescoffeedeli.com/home,Mo-Fr 07:00-15:00,coffee_shop;sandwich,no,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"230 Alvarado Street, Los Angeles, CA, 90057",+1 213-434-1379,,https://www.starbucks.com/store-locator/store/1023630/alvarado-3rd-230-s-alvarado-los-angeles-ca-900572306-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Homegirl Cafe,Address not available,,,,,,,,,yes,,OpenStreetMap,"34.0536909, -118.242766",cafe,
The California Endowment Courtyard Cafe,Address not available,,,,Mo-Fr 07:30-15:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
The Coffee Bean & Tea Leaf,"645 (Suite #108) W. 9th St., 90015",(213) 627-3816,,https://www.coffeebean.com/,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"3461 West 3rd Street, Los Angeles, CA, 90020",+1 213-384-6552,,https://www.starbucks.com/store-locator/store/8885/vons-los-angeles-2261-3461-w-3rd-st-los-angeles-ca-900201604-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"350 South Grand Avenue, Los Angeles, CA, 90071",+1 213-626-0466,,https://www.starbucks.com/store-locator/store/16708/two-cal-plaza-350-south-grand-avenue-suite-b-5-los-angeles-ca-90,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"138 South Central Avenue, Los Angeles, CA, 90012",+1 213-613-0393,,https://www.starbucks.com/store-locator/store/11382/2nd-central-138-s-central-avenue-los-angeles-ca-900123913-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Blue Bottle Coffee,"582 Mateo Street, Los Angeles, CA, 90013",,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Daily Dose,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
No Ghost Bears,"305 East 8th Street, Los Angeles, 90014",,,http://www.coffeecolab.com,,coffee_shop,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Verve Coffee,"833 South Spring Street, Los Angeles, 90014",,,,,coffee_shop,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Biscuit and Bean,"2501 Sunset Boulevard, Los Angeles, CA, 90026",+1 213-263-9780,biscuitandbeanla@gmail.com,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Gigo's Cafe & Deli,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
HillStreet,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Cafe Tropical,"2900 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-661-8391,,https://cafetrop.com/,Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00,coffee_shop;cuban,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Bodega Park,"2852 Sunset Boulevard, Los Angeles, CA, 90026",,https://www.instagram.com/bodegapark/,https://www.bodegapark.la/,Mo off; Tu-Su 08:00-15:00,sandwich;breakfast;wings;salad,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Coffee House Donuts,"411 East 8th Street, Los Angeles, CA, 90014",,,,,donut,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
L.A Donuts & Croissant,"102 South Vermont Avenue, Los Angeles, 90004",,,,,donut,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Alfred Coffee Silverlake,"3337 1/2 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-522-6984,,https://alfred.la/,Mo-Fr 06:30-17:00; Sa-Su 07:30-18:00,coffee_shop;coffee,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Stumptown Coffee Roasters,806 Santa Fe Avenue,,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"1601 Wilshire Boulevard, Wilshire Union Center, CA, 90017",+1 213-484-0958,,https://www.starbucks.com/store-locator/store/11305/union-wilshire-1601-wilshire-blvd-los-angeles-ca-900171610-us,Mo-Sa 05:00-22:00; Su 05:30-21:00,coffee_shop,,yes,,yes,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"735 South Figueroa Street, Los Angeles, CA, 90017",+1 213-488-9902,,https://www.starbucks.com/store-locator/store/8888/7th-figueroa-fi-gat-7th-735-s-figueroa-street-308-los-angeles-ca-900172563,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Mitsuru Cafe,Address not available,,,,"We-Fr 11:00-17:00; Sa,Su 11:00-18:00",,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Tilt Coffee Bar,"334 South Main Street, Los Angeles, CA, 90013",,,,"Mo-Sa 07:00-19:00, Su 09:00-18:00",coffee_shop,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Pitchoun,545 Olive Street,+1(213)689-3240,,https://pitchounbakery.com/,Mo-Fr 07:00-11:30; Sa-Su 08:00-16:00,french;breakfast;cake;coffee_shop,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Cafe Dulce,134 Japanese Village Plaza Mall,+1 213-346-9910,,,Mo-Su 07:00-21:00,cake;coffee_shop;donut;sandwich,yes,,,yes,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Caffe Bene,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
The Coffee Bean & Tea Leaf,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"3150 Wilshire Boulevard, Los Angeles, CA, 90010",+1 213-384-3578,,https://www.starbucks.com/store-locator/store/1007346/vermont-wilshire-3150-wilshire-blvd-los-angeles-ca-900101305-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
The Wheelhouse,"1375 East 6th Street, Los Angeles, CA, 90013",,,,07:00-18:00,coffee;sandwich,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Civilization Cafe,"306 West 2nd Street, Los Angeles, CA, 90012",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Sage Vegan Bistro,1700 Sunset Boulevard,(213) 989-1718,,https://www.sageveganbistro.com/,Mo-Fr 10:00-23:00; Sa-Su 09:00-23:00,sandwich;salad;Tacos;ramen;pizza;burger,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
The Dog Cafe,240 Virgil Avenue,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
B Twentyfour,2223 North Broadway,+1-323-352-8566,,https://www.btwentyfourcafe.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Blue Bottle Coffee,"300 South Broadway, Los Angeles, CA, 90013",,,https://bluebottlecoffee.com/,"Mo-Fr 07:00-18:00; Sa, Su 07:00-19:00",coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Barista Society,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Speciality's,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Peet's Coffee,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"555 West 5th Street, Los Angeles, CA, 90013",+1 213-819-7063,,https://www.starbucks.com/store-locator/store/1017881/5th-grand-gas-co-tower-555-west-5th-street-cc-56-los-angeles-ca-900131010,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Yuko Soup Bar,US,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Yuko Kitchen,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Ali Mama Cafe,"3229 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-668-0856,,https://www.alimamasilverlake.com/,16:45-03:30,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Qwench,Address not available,,,https://www.qwenchjuice.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"1090 Wilshire Boulevard, Los Angeles, CA, 90017",+1 213-250-8291,,https://www.starbucks.com/store-locator/store/14637/bixel-wilshire-1090-wilshire-blvd-los-angeles-ca-900172416-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"639 Cesar E Chavez Avenue, Los Angeles, CA, 90012",+1 213-680-7825,,https://www.starbucks.com/store-locator/store/1007141/cesar-chavez-broadway-639-n-broadway-los-angeles-ca-900124500-us,,coffee_shop,,yes,,yes,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Tierra Mia Coffee,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
it's boba time,"701 South Vermont Avenue, Los Angeles, CA, 90005",,,,,coffee_shop;bubble_tea,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"800 West Olympic Boulevard, Los Angeles, CA, 90015",+1 213-748-1009,,https://www.starbucks.com/store-locator/store/18659/olympic-figueroa-la-live-800-w-olympic-blvd-102-los-angeles-ca-900151361-us,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Maru Coffee,"1019 Santa Fe Avenue, Los Angeles, CA, 90021",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Starbucks,"300 South Santa Fe Avenue, Los Angeles, CA, 90013",+1 213-737-3158,,https://www.starbucks.com/store-locator/store/1039863/pickup-santa-fe-3rd-300-s-santa-fe-ave-d-los-angeles-ca-900133100-us,Mo-Fr 06:00-17:00; sa-su 06:30-17:00,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Philz Coffee,"801 South Hope Street, Los Angeles, CA",,,,,coffee_shop,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Groundwork Coffee Co.,"811 Traction Avenue, Los Angeles, CA, 90013",,,,Su-Sa 06:00-19:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
Il Caffe,"855 South Broadway, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
RVCC Intersect,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
85°C,Address not available,,,,,coffee_shop;chinese,,yes,,,,OpenStreetMap,"34.0536909, -118.242766",cafe,
