name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Rainbow,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Image Gear USA,"106 East 17th Street, Los Angeles, CA, 90015, US",+1-626-705-6161,sales@imagegearusa.com,http://imagegearusa.com,Mo-Fr 09:00-18:00; Sa 09:00-13:00; Su closed,,,,,no,Credit Cards,OpenStreetMap,"34.0536909, -118.242766",,clothes
OAK Los Angeles,"910 South Broadway, Los Angeles, CA, 90015",+1 213 6224600,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Nino Ferretti,"761 South Los Angeles Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Paolo Cellini,"751 South Los Angeles Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Italian Corner,"772 South Los Angeles Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Sam's Leather,"770 South Los Angeles Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Suit Fellas,"756 South Los Angeles Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
YuYu Hosiery,"Los Angeles, CA",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Angelina Hosiery,"907 South Alameda Street, Los Angeles, CA",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
New York Town,"701 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Marcel's,"707 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Silk & Leather Collection,"709 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Suit 4 Less,"711 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Henry Duarte,"715 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
New Warehouse,"717 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Flagship,"721 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
J. Valintin,"723 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
"Rogert Stuart Clothes, Inc.","731 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Unknown,"746 South Los Angeles Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Unknown,"209 East 8th Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Tokyo Japanese Lifestyle,Address not available,,,,"Su-Th 11:00-19:00; Fr,Sa 11:00-20:00",,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Shiloh,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Bridge & Burn DTLA,"1318 7th Street, Los Angeles, CA, 90021, US",+1-213-278-0455,,https://www.bridgeandburn.com,We-Sa 11:00-18:00; Su 11:00-17:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Callejon All Star,"1103 Maple Avenue, Los Angeles, CA, 90015",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Urban Outfitters,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
H&M,"735 South Figueroa Street, 90017",+1 (855) 466-7467,,https://www.hm.com/,Su 10:00-20:00; Mo-Sa 10:00-21:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
COS,"323 West 8th Street, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Gentle Monster,"816 South Broadway, Los Angeles, CA, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Jordan Flagship Store,"622 South Broadway, Los Angeles, CA, 90014, US",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Sweet illusion,"628 E 12th St, Los Angeles",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Jostar,"1205 South San Pedro Street, Los Angeles",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Uniqlo,"700 South Flower Street, Los Angeles, CA, 90017",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Victoria's Secret,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
Zara,"725 South Figueroa Street, 90017",+1 (833) 247-2473,,https://www.zara.com/,Su 11:00-19:00; Mo-Th 11:00-21:00; Fr-Sa 10:00-21:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",,clothes
