name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Cezar,Cezar,,,,,,,,,,,restaurant,
לנדוור,לנדוור,,,,,,,,,,,restaurant,
Fresko,Fresko,,,,,,,,,,,restaurant,
Cafe Mada,Cafe Mada,,,,,,,,,,,restaurant,
Petra,Petra,,,,,greek,,,,,,restaurant,
קינג ג'ורג',קינג ג'ורג',,,,,,,,,,,restaurant,
River,River,,,,,,,,,,,restaurant,
פיצה האט,פיצה האט,,,,,pizza,,,,,,restaurant,
פיאטו,פיאטו,,,,,italian,,,,,,restaurant,
Wolfnights,Wolfnights,,,,,burger,,,,,,restaurant,
שווארמה שמעוני,שווארמה שמעוני,,,,,,,,,,,restaurant,
"מקדונלדס ביל""ו","מקדונלדס ביל""ו",,,,,american;burger,,,,,,restaurant,
Pizza Authentica,Pizza Authentica,,,,,pizza,,yes,,,,restaurant,
בורגוס בורגר בר,בורגוס בורגר בר,,,,,,,,,,,restaurant,
zoe,zoe,,,,,,yes,,,,,restaurant,
אלה פאלה,אלה פאלה,,,,Su-Th 17:00-23:00,pizza,,,,,,restaurant,
oshi,oshi,,,,"Su-Th 11:00-22:40, Fr 11:00-14:00, Sa 19:00-10:40",sushi,yes,,,no,,restaurant,
Pasta Basta,Pasta Basta,,,,Su-Th 07:00-22:00; Fr 07:00-15:30; Sa off,noodle,no,yes,,limited,Credit Cards,restaurant,
Aroma,Aroma,,,,,,,,,,,restaurant,
מימי ונונו,מימי ונונו,,,,,,,,,,,restaurant,
Canotto,Canotto,,,,,pizza,,,,yes,,restaurant,
Burger Saloon,Burger Saloon,,,,,,,,,,,restaurant,
Ototo,Ototo,*3901,,,,,,,,,,restaurant,
Tokyo,"220 הרצל, רחובות",,,,,japanese,,,,,,restaurant,
השניצלייה,השניצלייה,,,,,,,,,,,restaurant,
פיצה גרליק,פיצה גרליק,,,,,pizza,,,,,,restaurant,
פופאיט,פופאיט,,,,,,,,,,,restaurant,
Ahuzat Margo,"20 יעקב, Rehovot",+97289467030,info@margo.co.il,https://www.margo.co.il/,"Mo-Th 12:00-15:00,18:00-23:30; Fr 11:00-15:00; Su 18:00-23:30",salad;fish,,,,,,restaurant,
איבן,איבן,,,,,coffee_shop;sandwich,,,,,,restaurant,
בניין סן מרטין,בניין סן מרטין,,,,,,,,,,,restaurant,
