name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
פורלין,פורלין,,,,,,,,,,,restaurant,
Boccaccio,106 הירקון,,,,,italian,,,,,,restaurant,
פיצהפינו,פיצהפינו,,,,,pizza,,,,,,restaurant,
קופי בר,13 יד חרוצים,03-688-9696,,https://www.coffeebar.co.il/,Mo-Su 09:00-00:00,italian,,,,yes,,restaurant,
Bedulina,Bedulina,,,http://www.rest.co.il/sites/Default.asp?txtRestID=5742,,,,,,,,restaurant,
King George,King George,,,,,,,,,,,restaurant,
Ernesto,Ernesto,,,,Mo-Su 12:30-23:30,italian,yes,,,yes,,restaurant,
Olive Leaf,Olive Leaf,,,,,,,,,,,restaurant,
לחם ושות,128 בן יהודה,,,,"Mo-Th,Sa-Su 09:00-21:30; Fr 09:00-17:30",coffee_shop,yes,yes,yes,,,restaurant,
Pizza Hut,Pizza Hut,,,,,pizza,,,,,,restaurant,
Pizza Hut,206 דיזנגוף,,,,,pizza,,,,,,restaurant,
מול-ים,מול-ים,,,,,fish,,,,,,restaurant,
קארנס,"14 אבן גבירול, תל אביב",+972 50 4451330,,,,,,,,,,restaurant,
למון גראס,22 אבן גבירול,,,,,,,,,,,restaurant,
דיווינה,14 אשתורי הפרחי,,,,,,,,,,,restaurant,
טופ שיא,טופ שיא,,,,,,,,,,,restaurant,
Matteo,"87 בוגרשוב, תל אביב-יפו",+972 3 938 3433,matteo.tlv@gmail.com,https://matteo.co.il/en/matteo/,Su-Th 12:00-23:00; Th-Sa 10:00-00:00,italian,,,yes,limited,,restaurant,
קינג ג'ורג',קינג ג'ורג',,,,,,,,,,,restaurant,
הבלינצ'ס של שושנה,הבלינצ'ס של שושנה,,,,,,,,,,,restaurant,
מציצים,מציצים,,,,,,,,,yes,,restaurant,
מוזס סטיישן,293 דיזינגוף,,,,,,,,,,,restaurant,
מאסה,"19 הארבעה, תל אביב-יפו",,,,,,,,,,,restaurant,
בראסרי,"70 אבן גבירול, Tel Aviv-Yafo",03-696-7111,,https://brasserie.co.il/,24/7,french,,yes,yes,no,,restaurant,
רוסטיקו,"15 רוטשילד, תל אביב-יפו",+972 3 510 0039,,https://www.rustico.co.il/,Su 18:00-22:30; Mo-Th 18:00-23:00; Fr 12:30-23:00; Sa 12:30-22:30,italian,,,,,,restaurant,
בנדיקט,171 בן יהודה,,,,,,,,,,,restaurant,
Manta Ray,Manta Ray,,,,,,,,,yes,,restaurant,
יטבתה בעיר,יטבתה בעיר,,,,,,,,,,,restaurant,
סושי בזל,20 אשתורי פרחי,,,,,,,,,,,restaurant,
Meat Bar,"52 שדרות ח""ן, תל אביב-יפו",+972 3 695 6276,,https://meatbar.co.il/%D7%9E%D7%99%D7%98%D7%91%D7%A8-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/,Fr-We 12:00-23:30; Th 12:00-00:00,,,,,,,restaurant,
גוסטו,90 פרישמן,,,,,italian,,,,,,restaurant,
באבא יאגה,12 הירקון,035175379,,https://www.babayaga.co.il/,,seafood;russian,,,yes,,,restaurant,
בני הדייג,בני הדייג,,,,,fish_and_chips;fish,,,,,,restaurant,
הסוכה הלבנה,הסוכה הלבנה,,,,,,,,,,,restaurant,
HaLigah,HaLigah,,,,,,,,,yes,,restaurant,
Yulia,Yulia,,,,,mediterranean,,,,yes,,restaurant,
Kitchen market,Hangar 12 ליפקין-שחק,,,,,,,,,,,restaurant,
Porto,Porto,,,,,italian,,,,,,restaurant,
Come Il Faut,Come Il Faut,,,,,,,,,,,restaurant,
Kuka,Kuka,,,,,,,,,,,restaurant,
hazan grill,hazan grill,,,,,,,,,,,restaurant,
avilaphit,avilaphit,,,,,,,,,,,restaurant,
Cordelia,Cordelia,+972 03 5184668,,http://www.cordelia.co.il/,,,,,,yes,,restaurant,
כתית,כתית,,,https://www.catit.co.il/,,,,,,,,restaurant,
עדנה,עדנה,,,,,,,,,,,restaurant,
שצ'ופק,שצ'ופק,,,,,,,,,,,restaurant,
השולחן,73 שדרות רוטשילד,,,,,,,,,,,restaurant,
מסעדת לונג סנג,מסעדת לונג סנג,,,,,chinese,,,,,,restaurant,
Ethiopian Restaurant,Ethiopian Restaurant,,,,,ethiopian,,,,,,restaurant,
Fish Market by Meatos,תל אביב-יפו,+97236932002,,https://fishmarket-tlv.co.il/,,seafood;greek,,,,,,restaurant,
Greg,Greg,,,,,,,,,,,restaurant,
פילדלפיה,פילדלפיה,+972 36930606,,,,,yes,yes,yes,,,restaurant,
בולנז'רי 96,בולנז'רי 96,,,,,,,,,,,restaurant,
מפגש הירקון,מפגש הירקון,,,,,,,,,,,restaurant,
קפה זליק,קפה זליק,,,,,,,,,,,restaurant,
Cafe Italia,Cafe Italia,035612888,,https://www.cafe-italia.co.il/,,,,,,yes,,restaurant,
שמש,9 תובל רמת גן,03-612-1888,,https://shemesh-rg.co.il/,"Mo-Th, Su 11:00-00:00",shawarma,,,,,,restaurant,
אל גאוצ'ו,אל גאוצ'ו,,,,,steak_house,,,,,,restaurant,
Black,Black,,,http://www.blackbarburger.co.il,,burger,,,,,,restaurant,
המסעדה,"18 הארבעה, תל אביב-יפו",+972 3 639 9199,,https://hamisada.com/,Su-Sa 12:00-23:00,meat,no,,,,,restaurant,
האחים,האחים,,,,,,,,,,,restaurant,
יפו-תל אביב,יפו-תל אביב,+97236249249,,,12:00-23:30,,no,,,yes,,restaurant,
סירים,סירים,,,,,,,,,,,restaurant,
הזקן והים,הזקן והים,,,http://www.rest.co.il/sites/Default.asp?txtRestID=5831,,,,,,,,restaurant,
Honey Beach,Honey Beach,,,,,,,,,,,restaurant,
קלימרה,קלימרה,,,http://kalimera.co/,Mo-Sa 12:00+,,,,,,,restaurant,
סלטי השף,סלטי השף,,,,,regional,,,,,,restaurant,
איטלקיה בתחנה,"11א אשקלון, 6811834",+972723945751,info@italiantlv.co.il,https://italiantlv.co.il/,Mo-Su 12:00-23:00,italian;italian_pizza,,,,,,restaurant,
The Red Chinese,The Red Chinese,,,,,chinese,,,,,,restaurant,
פטרוזיליה,"47 שדרות רוטשילד, תל אביב-יפו",+972 3 516 2468,,https://petrozilia.co.il/,Su-Th 11:00-18:00,meat,,yes,yes,,,restaurant,
ויטרינה,"40 לילינבלום, תל אביב",+972 3 616 4118,,,,burger,yes,yes,,no,,restaurant,
Meat Kitchen,10 התעשיה,,,,,,,,,,,restaurant,
Bodega מטבח אמריקאי,14 קרליבך,,,,,american,,,,,,restaurant,
Little Prague Restaurant,148 בן יהודה,,,,Mo-Su 12:00-23:00,regional;czech,,,,,,restaurant,
J17,17 ירמיהו,,,,Su-Th 09:00-21:00; Fr 09:00-16:00,mediterranean;barbecue;moroccan;international,,,,,,restaurant,
DosaBar,188 בן יהודה,,,,Su-Th 12:00-23:00; Fr 11:00-16:00,,,,,,,restaurant,
מלכה,"2 דפנה, תל אביב-יפו",+97236091331,,https://ontopo.co.il/malka,"Su-Th 12:00-16:00,18:00-00:00",,,,,,,restaurant,
Magazzino,"21 מנחם בגין, תל אביב-יפו",+97237570535,,https://www.magazzino.co.il,Su-Sa 12:00-00:00,italian;cake;dessert,,yes,yes,yes,,restaurant,
Bezzo Pizza,22 הירקון,,,,,,,,,,,restaurant,
