name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Mar Café,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה קפה,"1 כ""ג יורדי הסירה, תל אביב-יפו",+972 3-544-0054,,https://cafecafe.co.il,Su-We 09:00-00:00; Th 08:00-00:00; Fr 08:00-13:30,coffee_shop,,yes,,yes,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה שרגא,"10א יוסף קארו, 67014",+97235626691,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
ארומה,Address not available,035447047,,,,coffee_shop,,yes,,yes,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
מובינג,308 דיזנגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה נטו,Address not available,,,,,israeli,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
משוגעת,12 אבן גבירול,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
שיין 38,38 שלמה המלך,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
וניליה,98 אבן גבירול,,,,,ice_cream,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Lulu קפה,5 אלקלעי,+972-3-602-0805,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קקאו,37 שדרות רוטשילד,,,,,coffee_shop,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
ג'רמיה,306 דיזינגוף,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Arcaffe,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
בנדיקט רוטשילד,"29 רוטשילד, תל אביב-יפו",+972 3 686 8657,,https://www.benedict.co.il/pages/%D7%91%D7%A0%D7%93%D7%99%D7%A7%D7%98-%D7%A8%D7%95%D7%98%D7%A9%D7%99%D7%9C%D7%93,Mo-Su 08:00-22:00,coffee_shop,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
אידלסון,252 בן יהודה,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
לנדוור,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
תוצרת הארץ,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Y Yogurt Bar,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה נמרוד,"1 כ""ג יורדי הסירה, תל אביב-יפו",+972 77-213-3007,,https://cafenimrod.com,Su-Sa 08:00-01:30,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Victory,Address not available,,,,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה קפה,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
שקד,Address not available,,,,"Su-Th 07:30-24:00, Fr 07:30-14:30, Sa 18:00-24:00",,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה ג'ו,Address not available,,,http://www.joe.co.il/,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
אנינה,Address not available,,,https://artsi.co.il/,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
סשק,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Coffee Star,Address not available,,,,,coffee;salad;sandwich,,,,limited,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
עלית,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Uno,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Unknown,"48 ה' באייר, תל אביב-יפו",,,,,cake,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
restaurant poisson Ada,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
נלסון 33,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
סוזנה,Address not available,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
קפה אנה,Address not available,,,,,coffee_shop,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Arcaffe,"17 הארבעה, 64739",,,https://www.arcaffe.co.il/,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
טאטי,53 השלום,,,,,,,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
רולדין,Address not available,,,,,coffee_shop,,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
Cafetish coffee,"10 ד""ר ולטר מוזס, תל אביב",0502671717,,,,coffee_shop,yes,,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
מטרו,Address not available,,,,,,,,,yes,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
רולדין,49 שיינקין,,,,Mo-Su 08:00-24:00; Fr 08:00-17:00; Sa 17:00-24:00,coffee_shop,yes,yes,,,,OpenStreetMap,"32.0852997, 34.7818064",cafe,
