name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
McDonald's,3 вулиця Юрія Іллєнка,+380 44 230 2744,UA-00001.store@ua.mcd.com,https://www.mcdonalds.ua/,Mo-Su 06:00-24:00,burger,,yes,no,,,fast_food,
БПШ,БПШ,,,,24/7,,,,,,,fast_food,
Тітка Клара,Тітка Клара,,,,"Mo-Fr 08:00-21:00; Sa, Su 08:30-21:00",,yes,,,no,,fast_food,
Їдальня,Їдальня,,,,,,no,,,,,fast_food,
McDonald's,19-А вулиця Хрещатик,,,,Mo-Su 07:00-22:00,burger,pedestrian_zone,yes,,yes,"Cash, Mastercard, Visa",fast_food,
У Інни,"28/2 вулиця Хрещатик, 01001",,,,Mo-Sa 10:00-22:00,ukrainian,,,yes,yes,"Cash, Credit Cards, Debit Cards, Mastercard, Visa, Contactless",fast_food,
KFC,"176 вулиця Антоновича, 03150",+380 44 591 3800,,https://kfc-ukraine.com/,,chicken,yes,yes,no,yes,,fast_food,
Mushlya,Mushlya,,,,mo-su 10:00-22:00,seafood,,,,,,fast_food,
KyivDoner,KyivDoner,,,,,kebab,,,,,,fast_food,
Döner House,Döner House,,,,,kebab,,,,,,fast_food,
McDonald's,"176 вулиця Антоновича, 03150",+380 44 528 0051,,https://www.mcdonalds.ua/,Mo-Su 08:00-22:00,burger,pedestrian_zone,yes,no,yes,,fast_food,
Тітка Клара,17 Костянтинівська вулиця,,,https://klara.ua,"Mo-Fr 08:00-21:00; Sa,Su 08:30-21:00",,yes,,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Salateira,Salateira,+380 44 337 4044,office@salateira.ua,,Mo-Fr 09:00-21:00; Sa-Su 10:00-20:00,,no,,,no,,fast_food,
Три Шаурми,5 Спаська вулиця,0632171357,,https://try-shaurmy.com.ua/online-menu,,kebab,,,,,,fast_food,
Linas Snack,Linas Snack,,,,"Mo-Su,PH 10:00-22:00",kebab,no,only,,no,"Credit Cards, Debit Cards",fast_food,
Смачно,40 вулиця Ярославів Вал,,,,Mo-Fr 10:00-16:00; Sa-Su off,,yes,,,,,fast_food,
McDrive,McDrive,,,,,,,,,,,fast_food,
Пузата Хата,28-30 вулиця Верхній Вал,,,https://www.puzatahata.ua/,"Mo-Fr 08:00-21:00; Sa, Su 08:00-21:00",ukrainian,no,yes,,no,"Cash, Mastercard, Visa",fast_food,
Кава,Кава,,,,,,,,,,,fast_food,
Allora Pizza Grill,Allora Pizza Grill,,,,Mo-Fr 10:00-22:30,pizza,,yes,,,,fast_food,
Burger Farm,56 бульвар Тараса Шевченка,,,,Mo-Su 11:00-20:30,burger,,yes,,,,fast_food,
KFC,41 вулиця Петра Сагайдачного,,,,Mo-Su 08:00-22:00,chicken,yes,yes,,no,"Cash, Mastercard, Visa",fast_food,
Picnic,Picnic,,,,Mo-Fr 08:00-21:00; Sa-Su 09:00-22:00,coffee_shop;cake;dessert,yes,,,no,"Cash, Mastercard, Visa",fast_food,
Domino's,14 вулиця Петра Сагайдачного,+380 44 222 1111,,https://dominos.ua/,Mo-Su 10:00-22:00,pizza,,yes,,limited,"Cash, Mastercard, Visa, Contactless",fast_food,
Salateira Bowl House,37 вулиця Петра Сагайдачного,,,,,,,,,,,fast_food,
Хвилинка відпочинку,Хвилинка відпочинку,,,,,,no,,,yes,,fast_food,
Sushi Anime,Sushi Anime,,,,,sushi,,,,yes,,fast_food,
Япона Хата,Япона Хата,,,,,sushi,,,,,,fast_food,
Il Passo,Il Passo,,,,,pizza,,,,,,fast_food,
Сирійська Шаурма,2 Бессарабська площа,,,,24/7,oriental,no,only,,,,fast_food,
Квадрат,10 Прорізна вулиця,,,,Mo-Su 09:00-21:00,pizza,,,,,,fast_food,
Food Bar,04070,,,,,burger;pasta;rice;salad,no,only,no,,,fast_food,
Dinner's,Dinner's,,,,,fish_and_chips;sandwich;international;regional;coffee_shop,,,,,,fast_food,
Раки і еклери,Раки і еклери,,,,,,,,,,,fast_food,
Lviv Croissants,Lviv Croissants,+380 67 212 7976,,https://lvivcroissants.com/,Mo-Fr 08:00-22:00;Sa-Su 10:00-22:00,sandwich,,yes,,yes,,fast_food,
Кофе-точка,Кофе-точка,,,,,,,,,,,fast_food,
Dogz&Burgerz,3 провулок Євгена Гуцала,+380 68 360 9164,,,Mo-Su 10:00-23:00,burger;hot_dog;fast_food,,,,,,fast_food,
Samandar doner,Samandar doner,,,,24/7,kebab,,,,,,fast_food,
Форнеті,Форнеті,,,,,,,,,,,fast_food,
Kartofan,Kartofan,,,,,,,,,,,fast_food,
Стейк і гриль,Стейк і гриль,,,,Mo-Su 10:00-22:00,grill,,,,,,fast_food,
І:Т бургери і пиво,І:Т бургери і пиво,,,,,,,,,,,fast_food,
БПШ,37/20 вулиця Нижній Вал,,,,Mo-Su 10:00-22:00,,,yes,yes,no,"Cash, Mastercard, Visa",fast_food,
Mamamia!,Mamamia!,,,,Mo-Su 11:00-22:00,pizza,,,,,,fast_food,
Lviv Croissants,24 вулиця Хрещатик,+380 68 965 6578,,https://lvivcroissants.com/,Mo-Fr 09:00-22:00;Sa-Su 10:00-22:00,sandwich,,yes,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Биг-Бург,Биг-Бург,,,,,,,,,,,fast_food,
Pita,Pita,+380 63 739 4549,,https://pitakyiv.com/,Mo-Su 11:00-21:00,,yes,,,limited,,fast_food,
Panini and burgers,Panini and burgers,,,,,,,,,,,fast_food,
Суши Wok,17 Старовокзальна вулиця,+380 44 222 0333,,,,asian,,yes,,,,fast_food,
Noodle Doodle,Noodle Doodle,+380 67 102 1196,,https://www.nd.kiev.ua/,Mo-Su 10:00-21:00,asian,no,,,no,"Credit Cards, Debit Cards",fast_food,
Big Mama,Big Mama,,,,,mexican,yes,yes,,,,fast_food,
Sushi-time,Sushi-time,,,,,sushi,,,,,,fast_food,
KFC,26 Берестейський проспект,,,,Mo-Su 07:00-23:45,chicken,no,yes,,,,fast_food,
Крила,26 Берестейський проспект,,,,,,,,,,,fast_food,
Чебуреки,26/4 бульвар Тараса Шевченка,,,,,,,,,,,fast_food,
Avi Shawarma,Avi Shawarma,,,,Mo-Su 11:00-21:30,,,,,,,fast_food,
Berliner Döner,Berliner Döner,,,,,,,,,,,fast_food,
KFC,KFC,,,,Mo-Su 09:00-21:00,chicken,,yes,,,,fast_food,
Молоко від фермера,Молоко від фермера,+380 68 233 7979,office@moloko.kiev.ua,http://molokoferma.com.ua/,"Mo-Fr 07:00-22:00; Sa, Su 08:00-22:00",coffee_shop;cake;ice_cream,,yes,,no,Cash,fast_food,dairy
Тайнабокс,"18 вулиця Миколи Грінченка, 03039",+380 67 900 4341,info@tainabox.com.ua,https://tainabox.com.ua,Su-Th 10:30-21:00; Fr-Sa 10:30-21:00,chinese;noodles;pasta;oriental;beef_bowl;sushi;italian;thai;soba,,,,no,,fast_food,
Dogz&Burgerz,Dogz&Burgerz,,,,,,,,,,,fast_food,
Lviv Croissants,14 Львівська площа,+380 50 393 1414,,https://lvivcroissants.com/,"Mo-Fr 08:00-20:00; Sa,Su 09:00-20:00",sandwich,,yes,,,"Cash, Mastercard, Visa",fast_food,
Їzh,Їzh,,,,,,,,,,,fast_food,
ЄвроСмак,ЄвроСмак,+380 44 461 9911,,http://www.evrosmak.com,Mo-Th 10:00-18:00; Fr 10:00-17:30; Sa-Su off,regional;international,,,,,,fast_food,
Aziz Denir,Aziz Denir,,,,,Azerbaijani,,,,,,fast_food,
Lazzat,Lazzat,,,,,burger;kebab;asian,,,,,,fast_food,
KFC,"26 бульвар Лесі Українки, 01133",,,,Mo-Su 07:00-23:00,chicken,,yes,,,,fast_food,
Шаверма king,Шаверма king,,,,,kebab;turkish;burger,,,,limited,,fast_food,
Samandar Doner,Samandar Doner,,,,,kebab,yes,yes,,,,fast_food,
Doggeriz,22/24 Гоголівська вулиця,,,,Mo-Su 09:00-23:00,pizza;burger,,,,,,fast_food,
Woki Toki,Woki Toki,,,,Mo-Su 12:00-22:00,asian,,,,no,,fast_food,
Philadelphia Roll&Bowl,Philadelphia Roll&Bowl,+380 93 881 4388,,https://borysov.com.ua/uk/philadelphia,Mo-Su 10:00-23:00,japanese;sushi,,yes,,,,fast_food,
Фартук,Фартук,,,,mo-fr 11:00-17:00,,,,,,,fast_food,
Пузата Хата,40 Велика Васильківська вулиця,,,https://puzatahata.ua/,"Sa, Su 09:00-20:00; Mo-Fr 08:00-21:00",ukrainian,,yes,,,,fast_food,
Галерея вкуса,Галерея вкуса,,,,,regional,,,,,,fast_food,
Тітка Клара,69-71 Жилянська вулиця,,,,mo-fr 08:00-21:00; sa-su 08:30-21:00,,,,,limited,"Cash, Mastercard, Visa, Contactless",fast_food,
KFC,23-А проспект Степана Бандери,+380 50 356 1461,,https://www.kfc-ukraine.com/,Mo-Su 07:00-23:00,chicken,,yes,,yes,"Cash, Mastercard, Visa, Contactless",fast_food,
Graff Burger,Graff Burger,,,,,,,,,,,fast_food,
Суши Wok,Суши Wok,+380 93 170 2444,,,,asian,,yes,,,,fast_food,
Al Forno,Al Forno,,,,,pizza,,,,,,fast_food,
Yellow Truck,Yellow Truck,,,,,burger;potato;dessert;coffee,,,,,,fast_food,
Шошо Vegan,Шошо Vegan,,,,,,,,,,,fast_food,
Іверія,Іверія,,,,Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00; PH closed,georgian,yes,,,no,,fast_food,
Шале,Шале,,,,Mo-Su 10:00-22:00; PH off,,,,,,,fast_food,
Біляш пончик шаурма,Біляш пончик шаурма,,,https://m.facebook.com/BPSH.KYIV/,mo-su 10:00-22:00,,yes,,,limited,,fast_food,
Adriano,Adriano,,,,,pizza,,,only,,,fast_food,
Роман з устрицею,Роман з устрицею,,,,,fish_and_chips,,,,,,fast_food,
Казаночок,Казаночок,,,,Mo-Fr 9:00-18:00,,,,,,,fast_food,
Грузинська пекарня,Грузинська пекарня,,,,Mo-Fr 07:00-18:00,georgian,,only,,,,fast_food,
Дрова,Дрова,,,,,,,,,,,fast_food,
Пузата Хата,16 вулиця Шота Руставелі,,,,08:00-21:00,ukrainian,no,yes,,no,,fast_food,
Barakat,Barakat,,,,,,,,,,,fast_food,
Ramen vs. Marketing,Ramen vs. Marketing,,,,"su-th 12:00-16:00,17:00-21:00;fr-sa 12:00-16:00,17:00-23:45",ramen,,,,,,fast_food,
Рамен-До,Рамен-До,,,,,,,,,,,fast_food,
Завод Бургерс,Завод Бургерс,,,,Mo-Su 10:30-21:30,,,,,,,fast_food,
Бургерна вулиця,Бургерна вулиця,,,,,,,,,,,fast_food,
Твій плов,Твій плов,,,,,barbecue;kebab;asian,,,,,,fast_food,
Veterano Pizza,32-Б Дегтярівська вулиця,,,,Mo-Su 11:00-22:30,pizza,,,,,,fast_food,
Döner bar,Döner bar,,,,,kebab,no,only,,,,fast_food,
Traffic,Traffic,,,,,,,only,,,,fast_food,kiosk
Sushi Master,Sushi Master,,,,,sushi,,yes,,,,fast_food,
Варенична,Варенична,,,,,ukrainian,,,,,,fast_food,
Навертеле,Навертеле,,,,,kebab,,,,,,fast_food,
Market plaza,176 вулиця Антоновича,,,,,,,,,,,fast_food,
VanWok,VanWok,,,,,,,,,,,fast_food,
Узбецька кухня,Узбецька кухня,,,,,shawarma;kebab;uzbek;falafel;fast_food,,,,,,fast_food,
Суші мастер,Суші мастер,,,,,,,,,,,fast_food,
Pizza Day,Pizza Day,,,,Mo-Su 10:00-22:00,pizza,no,only,,,,fast_food,
Pizza King,Pizza King,,,,Mo-Su 10:00-22:00,pizza,,,,,,fast_food,
Il Molino,Il Molino,,,,,pizza,,,,,,fast_food,
Шоті,Шоті,,,,,kebab,,,,,,fast_food,
Bomaza,19-Г проспект Повітряних Сил,+380 63 073 0202,,,24/7,arab;asian;kebab,,,,,,fast_food,
Vanmo-sushi,Vanmo-sushi,+38 066 277 55 50,,https://vanmo-sushi.com.ua/,Mo-Su 10:00-22:00,sushi,,only,,,,fast_food,
Gyros,30-А вулиця Верхній Вал,,,,,greek,no,only,,,,fast_food,
McDonald's,1 вулиця Івана Мазепи,,,,Mo-Su 07:00-22:00,burger,pedestrian_zone,yes,,yes,"Cash, Mastercard, Visa, Contactless",fast_food,
Молоко від фермера,12/5 Липська вулиця,,office@moloko.kiev.ua,http://molokoferma.com.ua/,Mo-Sa 07:00-22:00;Su 09:00-22:00,coffee_shop;cake;ice_cream,,yes,,no,"Cash, Mastercard, Visa",fast_food,dairy
Sushi Story,Sushi Story,,,,,sushi,,yes,,,,fast_food,
Ko neko,Ko neko,,,,,japanese,,,,,,fast_food,
Перепічка,Перепічка,,,,,,,,,,,fast_food,
Юджин Бургер,Юджин Бургер,,,,Mo-Su 10:00-23:00,burger,,,,,,fast_food,
Суп культура,Суп культура,,,,Mo-Su 11:00-18:00,,,,,no,,fast_food,
Ponchyk Boy,24 вулиця Олеся Гончара,+38 (099) 623-84-82,,https://ponchykboy.ua,Mo-Su 09:00-20:00,,,,,,,fast_food,
"Duck, please","Duck, please",,,,,asian,,,,,,fast_food,
East fast food,East fast food,,,,24/7,,,,,,,fast_food,
Софра,"24 Вербова вулиця, 02000",+380 93 000 7985,,,Mo-Su 09:30-20:00,crimean,no,yes,,,,fast_food,
Lviv Croissants,47/29 Ярославська вулиця,+380 63 764 4867,,https://lvivcroissants.com/,Mo-Su 08:00-21:00,sandwich,yes,yes,,limited,"Cash, Mastercard, Visa",fast_food,
Hot meat,Hot meat,,,,,shawarma,,,,,,fast_food,
Пиріжки,Пиріжки,,,,,,,,,,,fast_food,
Міністерство Шаурми,Міністерство Шаурми,,,https://minshaurma.choiceqr.com/,Tu-Su 10:00-21:00; Mo 12:00-21:00,arab;oriental,,,,,,fast_food,
Maxim Döner,Maxim Döner,,,,Mo-Su 12:00-21:30,kebab,,,,yes,"Mastercard, Visa",fast_food,
Cinnabon,Cinnabon,,,,,dessert,,yes,,,,fast_food,
Юджин бургер,Юджин бургер,,,,,burger,,,,,,fast_food,
ЮДЖИН БУРГЕР,ЮДЖИН БУРГЕР,,,,,,,yes,,,,fast_food,
Hot Doner,Hot Doner,,,,,shawarma,,,,,,fast_food,
Döner Market,Döner Market,,,,,kebab,,only,,,,fast_food,
Döner Kebab,Döner Kebab,,,,,kebab,,,,,,fast_food,
ХА,ХА,,,,,pizza,,,,,,fast_food,
Квіткова мафія,41 вулиця Петра Сагайдачного,,,,,,yes,,,,,fast_food,
Міністерство шаурми,37 вулиця Петра Сагайдачного,,,,Mo-Su 11:00-22:00,kebab,,,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Ці млинці,Ці млинці,,,,,,,,,,,fast_food,
Berlin street food,Berlin street food,,,,,kebab,,,,,,fast_food,
Meatbusters,Meatbusters,,,,,kebab,,,,,,fast_food,
Gastro Family Market,Gastro Family Market,,,,,,,,,,,fast_food,
Халабудда,Халабудда,,,,,asian,,,,no,"Mastercard, Visa",fast_food,
Центр шаурми,Центр шаурми,,,,"Mo-Su,PH 10:00-22:00",,no,,,,,fast_food,
Sprava kava,Sprava kava,,,,,,,,,,,fast_food,
Comfort Food,Comfort Food,,,,,,,,,,,fast_food,
Офіс,Офіс,,,,,,,,,,,fast_food,
Döner Master,Döner Master,,,,,,,only,,,,fast_food,
Львівська перепічка,Львівська перепічка,,,,,,,,,,,fast_food,
Сіта хата,Сіта хата,,,,,local,,,,,,fast_food,
Я <3 кебаб,Я <3 кебаб,,,,,,,,,,,fast_food,
Kraft Kebab на вугіллі,Kraft Kebab на вугіллі,,,,Mo-Su 09:00-22:00,kebab,,,,,,fast_food,
Osama,Osama,,,,,,,,,,,fast_food,
Döner Stargoose,Döner Stargoose,,,,,,,only,,,,fast_food,
Fayna Asia,27 Волоська вулиця,,,https://faynaasia.choiceqr.com/,"Mo-Su,PH 10:00-22:00",asian,,,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Doggeriz,Doggeriz,,,,Mo-Su 10:00-22:00,,,,,,,fast_food,
Burger Drive,Burger Drive,,,,,,,,,,,fast_food,
AYO,"8А вулиця Професора Підвисоцького, 01103",,,https://ayo.com.ua/,Mo-Su 10:30-22:00,burger;pizza;kebab,,,,,,fast_food,
Miminoshi,Miminoshi,,,,,georgian,,,,,,fast_food,
Avi,Avi,,,,,,,,,,,fast_food,
Міська Їдальня,14 Львівська площа,,,,10:00-20:00,,no,,no,limited,"Cash, Mastercard, Visa",fast_food,
Fat Tonny,Fat Tonny,,,https://fattonny.com.ua,,pizza,,yes,yes,,,fast_food,
Karma,5-Б Басейна вулиця,+380930808097,,,,,,,,,,fast_food,
Kaldi,Kaldi,,,,,,,,,,,fast_food,
Зелений острів,Зелений острів,,,,Mo-Fr 11:00-16:00,,,,,,,fast_food,
Gyros for Kyiv,Gyros for Kyiv,,,,,,,,,,,fast_food,
Суши Мастер,Суши Мастер,,,,,,,,,,,fast_food,
Три пироги,Три пироги,,,https://3piroga.ua/,Mo-Su 09:00-21:00,osethian,,only,,,,fast_food,
Шаурмачо,Шаурмачо,,,,,,,,,,,fast_food,
OG Burger,OG Burger,+380 (68) 218-56-40,,https://ogburger.kyiv.ua/,Mo-Su 12:00-22:00,,yes,,,,,fast_food,
Nunu,Nunu,+380 (44) 334-44-44,,,,kebab,,,,,,fast_food,
Чек чебурек,34 Оленівська вулиця,,,,10:00-21:00,,,only,yes,no,"Cash, Mastercard, Visa, Contactless",fast_food,
I love Kebab,I love Kebab,,,lovekebab.com.ua,Mo-Su 10:00-21:00,kebab,,,,,,fast_food,
I Love Kebab,I Love Kebab,,,,,kebab,,,,,,fast_food,
TopPizza,40/52 Тарасівська вулиця,,,,,pizza,,,,no,,fast_food,
Шаурма.ua,Шаурма.ua,,,,,kebab,yes,yes,,,,fast_food,
Lazy Kitchen,4 Короленківська вулиця,,,,,,no,yes,,yes,"Credit Cards, Debit Cards, Contactless",fast_food,
Lviv Croissants,23 Оленівська вулиця,,,https://lvivcroissants.com/,,sandwich,no,yes,yes,yes,"Cash, Mastercard, Visa, Contactless",fast_food,
Пузата Хата,23 Оленівська вулиця,,,https://puzatahata.ua/,09:00-21:00,ukrainian,no,yes,yes,yes,"Cash, Mastercard, Visa, Contactless",fast_food,
Hungry Eyes,Hungry Eyes,,,,,sandwich,,,,,,fast_food,
Nunu Гамбургерна,17 Костянтинівська вулиця,,,,,burger,,yes,,yes,"Cash, Mastercard, Visa, Contactless",fast_food,
Подільська на Вугіллі,15 Введенська вулиця,,,,,kebab;hot_dog,yes,yes,,no,"Cash, Mastercard, Visa, Contactless",fast_food,
Китайські пельмені,Китайські пельмені,+380639777888,,,Mo-Su 00:00-22:00,chinese,,,,,,fast_food,
Шавармагія,Шавармагія,,,,09:00-22:00,kebab,,,,no,,fast_food,
nunu,30/18 вулиця Ярославів Вал,+380 44 334 4444,,,Mo-Su 11:00-22:00,kebab,,yes,,,,fast_food,
Kebab House,10 вулиця Богдана Хмельницького,,,,Mo-Su 10:00-22:00,,,yes,,,"Cash, Mastercard, Visa, Contactless",fast_food,
am,am,,,,,,,,,,,fast_food,
Street Hub,"22/7 Інститутська вулиця, 01021",,,,Mo-Fr 08:00-18:00,pastry;coffee_shop,,,,,,fast_food,
YALLA,65-А Olesia Honchara Street,,,,,kebab,,,,,,fast_food,
McDonald's,12-А проспект Степана Бандери,,,,,burger,yes,yes,,,,fast_food,
McDonald's,1/3 Деміївська площа,+380 44 451 8629,,https://www.mcdonalds.com/ua/uk-ua.html,,burger,,yes,,yes,,fast_food,
McDonald's,2-Б Берестейський проспект,,,,,burger,,yes,,,,fast_food,
KFC,1 Січеславська вулиця,+380 50 447 3003,,https://www.kfc-ukraine.com/,24/7,chicken,yes,yes,,,,fast_food,
Domino's,"4-А Терещенківська вулиця, 01004",,,,mo-su 10:00-24:00,pizza,no,yes,,yes,,fast_food,
Kolbaso-Bar,Kolbaso-Bar,,,,,,,,,,,fast_food,
McDonald's,"10 Боричів узвіз, 04070",,,,24/7,burger,yes,yes,,yes,"Cash, Mastercard, Visa",fast_food,
McDonald's,5-А вулиця Георгія Кірпи,,,https://www.mcdonalds.ua/,Mo-su 06:00-23:45,burger,,yes,,,,fast_food,
Doner time,Doner time,,,,,,,,,,,fast_food,
Мадліані пурі,76-А Велика Васильківська вулиця,,,,Mo-Su 08:00-20:30,,yes,,,,,fast_food,
Yizha,Yizha,,,,,asian;burger,,,,,,fast_food,
McDonald's,33А бульвар Миколи Міхновського,,,mcdonalds.ua,Mo-Su 07:00-23:00,burger,,yes,,,,fast_food,
