name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Be,Be,,,,,,,,,,,pharmacy,
Super-Pharm,129 דיזנגוף,,,http://www.super-pharm.co.il,,,,,,,,pharmacy,
Super-Pharm,4 שאול המלך,+972778880390,,http://www.super-pharm.co.il,Mo-Su 00:00-24:00; Fr 00:00-18:00; Sa 18:00-24:00,,,,,,,pharmacy,
Super-Pharm,Super-Pharm,,,http://www.super-pharm.co.il,,,,,,,,pharmacy,
"""בית מרקחת ""אבי","""בית מרקחת ""אבי",,,,,,,,,,,pharmacy,
סופר-פארם,סופר-פארם,,,http://www.super-pharm.co.il,,,,,,,,pharmacy,
זמנהוף,זמנהוף,,,,,,,,,,,pharmacy,
ש.ר.מ פארם - בית מרקחת למד,ש.ר.מ פארם - בית מרקחת למד,,,,,,,,,,,pharmacy,
ניו-פארם,"10 ויצמן, גבעתיים",,,http://www.new-pharm.co.il,,,,,,,,pharmacy,
נגה,"17 ויצמן, גבעתיים",,,,,,,,,,,pharmacy,
מכבי פארם,גבעתיים,,,,,,,,,,,pharmacy,
מכבי פארם,מכבי פארם,,,,,,,,,,,pharmacy,
Super-Pharm,"9 אחד העם, תל אביב-יפו",+972 77 888 1720,EitanF@Super-Pharm.co.il,https://shop.super-pharm.co.il/branches/branchPage?code=172,Su-Th 08:00-23:30; Fr 08:00-17:00; Sa (sunset+00:30)-23:30,,,,,,,pharmacy,
ברא צמחים,132 דיזנגוף,,,,,,,,,,,pharmacy,
כללית בית מרקחת,כללית בית מרקחת,,,,,,,,,,,pharmacy,
Super-Pharm,"10 ביאליק, רמת גן",+972-77-888-0290,,http://www.super-pharm.co.il,,,,,,,,pharmacy,
בית מרקחת כללית,בית מרקחת כללית,,,,,,,,,,,pharmacy,
בית מרקחת מיניאלי,"11 העלייה, תל אביב, 66858",+972-3-639-7777,doc.miniely@gmail.com,http://www.minielymedicine.co.il,Su-Th 08:00-18:00; Fr 08:00-14:00,,,,,limited,,pharmacy,
ש.ר.מ. פארם,43 חיבת ציון,,,,,,,,,,,pharmacy,
בית מרקחת רימונה,16 זימן,036957678,,,,,,,,,,pharmacy,
יש מצב,יש מצב,,,,,,,,,,,pharmacy,
Super-Pharm,"3 כיכר רמב""ם",+972-77-888-0500,,,,,,,,,,pharmacy,
Super-Pharm,"54 בורוכוב, גבעתיים",,,,Su-Th 08:30-22:30; Fr 08:00-16:00; Sa 10:00-23:30,,,,,,,pharmacy,
GOOD PHARM,תל אביב-יפו,+972 3 743 2280,,,,,,,,yes,,pharmacy,
Super-Pharm,"7 זאב ז'בוטינסקי, בני ברק",0778882550,,,,,,,,,,pharmacy,
GOOD PHARM,GOOD PHARM,,,,,,,,,,,pharmacy,
GOOD PHARM,"24 ויצמן, תל אביב-יפו",+97235101595,,,Su-Th 08:00-21:30,,,,,,,pharmacy,
GOOD PHARM,64 ביאליק,,,https://goodpharm.co.il/,Mo-Su 08:00-22:00; Fr 08:00-15:00; Sa (sunset+00:30)-23:00,,,,,,,pharmacy,
מכבי פארם,14 ביאליק,+972 36728839,,https://serguide.maccabi4u.co.il/heb/pharmacy/pharmacysearchresults/pharmacyinfopage/?ItemKeyIndex=F44CE2F6BA52CB761E797833EACD4A5C&RequestId=7c45e2fd-b939-7b10-72cd-a3ec67343b46&Source=SearchPageResults,"Mo-Th,Su 08:00-19:00; Fr 08:00-13:00; Sa off",,,,,no,,pharmacy,
GOOD PHARM,"19 אבא אחימאיר, Tel Aviv",+972 3 504 6565,,https://goodpharm.co.il/pharm_storelocation/%D7%A9%D7%95%D7%A1%D7%98%D7%A8-%D7%AA%D7%90/,,,,,,yes,,pharmacy,
Super-Pharm,"62 שינקין, תל אביב-יפו",+972 77 888 0830,DanielSH@Super-Pharm.co.il,https://shop.super-pharm.co.il/branches/branchPage?code=83,Su-Th 08:00-23:00; Fr 08:00-16:30; Sa (sunset+01:00)-23:30,,,,,,,pharmacy,
Super-Pharm,תל אביב-יפו,+972 77 888 1890,,https://shop.super-pharm.co.il/branches/branchPage?code=189,Su-Th 08:30-23:00; Fr 08:00-17:30; Sa (Sunset+00:48)-23:30,,,,,,,pharmacy,
Miryam,"29 הרב יצחק ידידיה פרנקל, תל אביב-יפו",+972 3 770 7520,,,Su-Th 09:00-21:00; Fr 09:00-15:00,,,,,,,pharmacy,
GOOD PHARM,"2 דרך שלמה, תל־אביב–יפו",+972 3 728 3090,,,,,,,,yes,,pharmacy,
Super-Pharm,"49 שדרות ירושלים, תל אביב-יפו",+972 77 888 1300,AlexG@Super-Pharm.co.il,https://shop.super-pharm.co.il/branches/branchPage?code=130&srsltid=AfmBOoosQb6kX6sLcSxD62Y0SaHz0WfY6rVPPMS1gOQav2J-nFusFcy1,Su-Th 08:00-22:30; Fr 08:00-17:30; Sa 08:00-23:00,,,,,,,pharmacy,
Super-Pharm,"94 יגאל אלון, תל אביב",+972 77 888 2610,NataliY@Super-Pharm.co.il,https://shop.super-pharm.co.il/branches/branchPage?code=261,Su-Th 08:30-23:00; Fr 08:30-16:00; Sa 09:00-23:00,,,,,,,pharmacy,
