name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Philippe The Original,1001 North Alameda Street,+1 (213) 628-3781,customerservice@philippes.com,https://www.philippes.com/,Mo-Su 06:00-22:00,american,,yes,,yes,Cash,restaurant,
Cole's P.E. Buffet,"118 East 6th Street, Los Angeles, CA",,,https://www.colesfrenchdip.com/,,,,,,no,,restaurant,
Bottega Louie,Bottega Louie,,,,Sa-Th 07:00-23:00; Fr 07:00-12:00,italian,no,yes,,yes,,restaurant,
Lili Ya,Lili Ya,,,,,,,,,,,restaurant,
Restaurant Aoi,"331 E. 1st St., 90012",,,,,japanese,,,,,,restaurant,
Daikokuya,"327 E 1st St., US",,,,,japanese,,,,,,restaurant,
Great Thai,Great Thai,,,,,,,,,,,restaurant,
Yard House,"800 West Olympic Boulevard, Los Angeles, CA, 90015",,,,"Su-Th 11:00-24:00, Fr,Sa 11:00-01:00",american,,,,yes,,restaurant,
Drago Centro,Drago Centro,,,,,,,,,,,restaurant,
Ciudad,Ciudad,,,,,,,,,,,restaurant,
Wokcano,Wokcano,,,https://www.wokcanorestaurant.com/,,asian,,,,,,restaurant,
Wolfgang Puck,Wolfgang Puck,,,,,,,,,,,restaurant,
Cafe Pinot,Cafe Pinot,,,,,,,,,,,restaurant,
Daily Grill,Daily Grill,,,,,american,,,,,,restaurant,
The Counter,The Counter,,,,,burger,,,,,,restaurant,
Izakaya Gazen,362 East 1st Street,,,,,japanese,,,,,,restaurant,
Original Pantry Cafe,Original Pantry Cafe,,,,24/7,american,no,yes,,yes,,restaurant,
Purgatory Pizza,Purgatory Pizza,,,https://www.eatpurgatorypizza.com/,,,,,,,,restaurant,
Empress Pavilion,Empress Pavilion,,,,,,,,,,,restaurant,
Majestic Malt Shop,Majestic Malt Shop,,,,,,,,,,,restaurant,
Wurstküche,"608 1/2 E. 3rd, Los Angeles, 90013, US",213 687 4444,,https://www.wurstkuche.com/,,german,,,,,,restaurant,
Mr. Ramen,"341 E. 1st St., 90012",,,,,japanese,,,,,,restaurant,
Rakkan Ramen,359 East 1st Street,,,,,japanese,,,,,,restaurant,
Far Bar,"347 E. 1st St., Los Angeles, CA, 90012",,,https://www.farbarla.com/,,,,,,,,restaurant,
Korean BBQ House,"123 Astronaut Ellison S Onizuka Street, Los Angeles, CA, 90012",213-680-1826,,https://www.koreabbqhouse.com/,Mo-Fr 10:00-21:00; Sa-Su 11:00-21:00,korean,,,,,,restaurant,
Suehiro Cafe,"337 E. 1st St., 90012",,,,,japanese,,,,,,restaurant,
San Sui Tei,"313 E. 1st St., 90012",213-613-0100,,,,japanese,,,,,,restaurant,
JiST Cafe,"116 Judge John Aiso St., Los Angeles, CA, 90012",,,,,,,,,,,restaurant,
Sugarfish,"600 West 7th Street, Los Angeles, CA, 90017",,,https://sugarfishsushi.com/,Mo-Su 11:30-22:00,sushi,,,,,,restaurant,
IHOP,"800 South Flower Street, Los Angeles, CA, 90017",,,https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-800-s-flower-st-797,24/7,breakfast;pancake,,,,yes,,restaurant,
Roy's Hawaiian Fusion,"800 S. Figueroa St., 90017",(213) 488-4994,,https://www.roysrestaurant.com/,,,,,,,,restaurant,
Panini Cafe Downtown,"600 W. 9th St., 90015",(213) 489-4200,,mypaninicafe.com,,sandwich,,,,,,restaurant,
Nickel Diner,"524 South Main Street, Los Angeles, 90013",,,,"Tu-Su 08:00-15:30,18:00-22:00",american,,,,limited,,restaurant,
First Cup Caffe,First Cup Caffe,,,,,,,,,,,restaurant,
Guisados,"1261 West Sunset Boulevard, 90026",+1 213-250-7600,,https://www.guisados.la/,Mo-Th 10:00-22:00; Fr-Sa 09:00-22:00; Su 09:00-21:00,mexican;tacos,,,,,,restaurant,
La Parrilla,La Parrilla,,,,,mexican,,,,,,restaurant,
El Tepeyac (Manuel's),"810 North Evergreen Street, Los Angeles, CA, 90033",,,http://www.manuelseltepeyac.com/,,mexican,,,,,,restaurant,
The Blue Cube,The Blue Cube,,,,,,,,,,,restaurant,
Blossom,CA,,,,,,,,,yes,,restaurant,
Bäco Mercat,"408 South Main Street, CA",+12136878808,,http://www.bacomercat.com,"Mo-Th 11:30-14:30, 17:30-23:00; Fr, Sa 11:30-15:00, 17:30-00:00; Su 11:30-15:00, 17:00-22:00",,,,,limited,,restaurant,
Soot Bull Jeep,3136 8th Street,,,,,korean,,,,,,restaurant,
The Park's Finest BBQ,1267 W Temple St,,,https://www.theparksfinest.com/,,american,,,,,,restaurant,
Polanco Modern Mexican Steakhouse,"840 South Spring Street, Los Angeles, 90014",(213) 265-7085,,https://polancorestaurantgroup.com/,,mexican,,,,,,restaurant,
Los Molcajetes Restaurant,"Los Angeles, 90005",,,,,salvadoran,,,,,,restaurant,
Badmaash,Badmaash,,,,,indian,,,,,,restaurant,
23rd Street Cafe,23rd Street Cafe,,,,,mexican;indian;american,,,,,,restaurant,
Beverly Soon Tofu Restaurant,"2717 West Olympic Boulevard, Los Angeles, 90006",+1 213-380-1113,,https://www.beverlysoontofu.com/,10:30-22:30,korean,,,,,,restaurant,
Chiguacle,Chiguacle,,,,,mexican,,,,,,restaurant,
Justice Urban Tavern,"120 Los Angeles Street, Los Angeles, 90012",213-253-9235,,http://www.justicela.com,Su-Th 06:00-23:00; Fr-Sa 06:00-24:00,american,,,,,,restaurant,
Les Noces de Figaro,"618 South Broadway, Los Angeles, 90014",,,,,french,,,,,,restaurant,
Sib Song,Sib Song,,,,,thai,,,,,,restaurant,
Kazu Nori,"421 S Main Street, Los Angeles, 90013",,,,Mo-Th 11:30-23:00;Fr-Sa 11:30-24:00;Su 12:00-22:00,japanese,,,,,,restaurant,
Blue Cow,Blue Cow,,,,,,,,,,,restaurant,
Prufrock Pizzaria,Prufrock Pizzaria,,,,"Mo-Fr 11:00-01:00, Sa-Su 10:00-01:00",pizza,,,,,,restaurant,
Black Sheep,Black Sheep,,,,,,,,,,,restaurant,
The Escondite,"410 Boyd Street, Los Angeles, CA, 90013",,,,,,,,,,,restaurant,
Shin-Sen-Gumi Hakata Ramen,"132 South Central Avenue, Los Angeles, CA, 90012",,,,,,,,,,,restaurant,
Surawon,"2833 West Olympic Boulevard, 90006",+1 (213) 383-7317,,,Su-Th 10:00-22:00; Fr-Sa 10:00-23:00,korean,,,,,,restaurant,
Jang An Restaurant,Jang An Restaurant,,,,,,,,,,,restaurant,
