name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Burger King,"74 אבן גבירול, תל אביב-יפו",+972-3-5562333,,https://www.burgerking.co.il/,,burger,,yes,,,,fast_food,
חומוס אבו דאבי,חומוס אבו דאבי,+972 3 525 9090,,https://www.abudubi.com/,,,,,,,,fast_food,
פלאפל הקוסם,"1 Shlomo Hamelech Street, 6437701",+972 3-5252033,,https://www.falafelhakosem.com/,Su-Th 09:00-00:30; Fr 09:00-16:30,local,,,,,,fast_food,
הסביח של עובד,הסביח של עובד,,,,,middle_eastern;pita;sabich,yes,,,,,fast_food,
חומוס גבעתיים,חומוס גבעתיים,,,,,middle_eastern,,,,,,fast_food,
Humus Asli,Humus Asli,,,,,regional,,,,,,fast_food,
Japanika,Japanika,,,,,,,,,,,fast_food,
בר-לין,בר-לין,,,,,burger,,,,,,fast_food,
Falafel Gina,126 Menachem begin,,,,,,,,,limited,,fast_food,
barvazi urban sandwich,17 טשרניחובסקי,,,,Mo-Su 07:00-17:00,,,,,,,fast_food,
‎פנדה פיתה,"45 מל""ן",,,,Fr 11:00-17:00; Th 11:00-17:00; Su-We 11:00-16:00,,,,,,,fast_food,
פיצה שמש,49 יהודה הלוי,03-730-28-78;1700-709-700,service@pizza-shemesh.co.il,https://pizza-shemesh.co.il/,,pizza,,yes,yes,,,fast_food,
Abu Ghosh,85 dizengoff street,,,,Su-Th 11:00-21:30; Fr 10:00-14:00,,,,,,,fast_food,
"קאסה דל פפה ת""א",1 סנפיר,+972722230767,,,"Mo-Su 00:00-01:00,11:00-24:00; Fr 00:00-01:00; Sa 18:00-24:00",pizza,,,,,,fast_food,
פסטה בסטה,פסטה בסטה,,,,,italian,yes,,,,,fast_food,
פלאפל אריאלה,פלאפל אריאלה,,,,,regional,,,,,,fast_food,
השניצל של אמא,השניצל של אמא,,,,,regional,,,,,,fast_food,
מפגש גרונר,מפגש גרונר,,,,,regional,,,,,,fast_food,
בהדונס החומוס והפול,"14 בר כוכבא, בני ברק",,,https://www.bahadunes.co.il/,,regional,,,,,,fast_food,
סמבוסביח,סמבוסביח,,,,,,,,,,,fast_food,
הפלאפל של דוד,הפלאפל של דוד,,,,,,,,,,,fast_food,
סנדוויץ' בר באגט,סנדוויץ' בר באגט,,,,,,,,,,,fast_food,
אבו חסן,"14 שבטי ישראל, תל אביב-יפו",,,,,regional;hummus,,,,limited,,fast_food,
Burgers Bar,Burgers Bar,,,,,burger,,yes,,,,fast_food,
אקו מרקט,אקו מרקט,,,,,,,,,,,fast_food,
Falafel Loop - Coin Commerce,"61 נחלת בנימין, תל אביב, 65252",,,,,regional,,,,,,fast_food,
Benz Brothers,"4 הרב יצחק ידידיה פרנקל, תל אביב-יפו",,,,Su-We 12:00-23:30; Fr 12:00-18:00; Sa 12:00-00:00,burger,yes,,,,,fast_food,
Meat Night,"2 ויטל חיים, תל אביב-יפו",+972 3 518 4999,,https://meat-night.co.il/,Su-Sa 19:00-05:00,burger,,,yes,,,fast_food,
Domino's,Domino's,,,,,pizza,,yes,,,,fast_food,
מקדונלד'ס,"6 ארניה אוסוולדו, תל אביב-יפו",,,https://www.mcdonalds.co.il/,,burger,yes,yes,yes,yes,,fast_food,
חומוסים,חומוסים,,,,,regional,,,,,,fast_food,
Lunch Box,Lunch Box,,,,,,,,,,,fast_food,
שיפודי הפינה,שיפודי הפינה,,,,,,,,,,,fast_food,
Schnitzel Company,29 לילינבלום,,,,,sandwich,,yes,yes,,,fast_food,
Falafel Gabai,"25 בוגרשוב, תל אביב",,,,,regional,,,,,,fast_food,
Burgeranch,Burgeranch,,,,,burger;hot_dog;ice_cream,,yes,,yes,,fast_food,
ריבר,ריבר,,,,,frozen_yogurt;ice_cream,no,yes,,yes,,fast_food,
חומוס מגן דוד,11 הכרמל,,,,,,,,,,,fast_food,
פלפל תדמור,Tel Aviv-Yafo,,,,09:00-22:30,regional,yes,yes,no,limited,,fast_food,
Frishman Falafel,42 פרישמן,,,,,local,,,,,,fast_food,
פלאפל יד אליהו,Tel Aviv,,,,Su-Fr 08:44-18:30,regional,no,yes,no,yes,,fast_food,
the 4 colors falafel,the 4 colors falafel,,,,,falafel,,yes,,,,fast_food,
בלומברג,15 אבן גבירול,,,,,,,,,,,fast_food,
טאקריה,"15 Levontin St, Tel Aviv-Yafo",,,,,mexican,,only,yes,,,fast_food,
עַלִי קַרַוַאן,Jaffa,,,,,hummus;regional,,yes,,,,fast_food,
פיצוציית מילניום,26 אלנבי,,,,,,,,,,,fast_food,
פלאפל רצון,פלאפל רצון,,,,,,,,,,,fast_food,
House of Hummus,House of Hummus,,,,,,,,,,,fast_food,
אבו חסן,"17 שבטי ישראל, תל אביב-יפו",,,,,hummus,,,,,,fast_food,
הברבנאל,"34 אברבנאל, תל אביב-יפו",,,,,pizza,,,yes,,,fast_food,
פרנק נקניקיות,פרנק נקניקיות,,,,,burger,,,,,,fast_food,
דיאנה בעיר,דיאנה בעיר,,,,,,no,,,,,fast_food,
בורגראנץ׳,בורגראנץ׳,,,,,burger,yes,yes,,,,fast_food,
Hummus Mshawashe,Hummus Mshawashe,,,,,,,,,,,fast_food,
deli cream,deli cream,,,,,,,,,,,fast_food,
פורט 19,"95 החשמונאים, תל אביב-יפו",+972 3 670 7929,,https://port-19.co.il/,"Sa-We 12:00-23:30, Th-Fr 12:00-02:00",burger;hot_dog,yes,,,yes,,fast_food,
הלו תימן,הלו תימן,,,,,,,,,,,fast_food,
Burgerbar,"43 בן יהודה, תל אביב",+972 3 517 1829,,,,burger,,,,,,fast_food,
"שיפודי ח""ן","53 השלום, גבעתיים",,,https://susu.co.il/,,,,,,,,fast_food,
Shnitzels,"30 דרך ששת הימים, בני ברק",,,,,Shnitzels,,no,,,,fast_food,
פיתה היט,"55 מבצע קדש, בני ברק",,,https://order.plweb.online/wl/1466#!/rest/1466/menu,,shawarma;sandwich;chicken,,no,,,,fast_food,
Hummus Ashkara,45 ירמיהו,03-546-4547,,https://hummus-ashkara.co.il/,Su-Th 05:00-02:00; Fr 05:00-16:30,arab;regional,,,,,,fast_food,
שווארמה פלאפל אלי,"38 לוינסקי, תל אביב-יפו",,,,Su-Th 10:00-19:00; Fr 10:00-16:00,regional,,,yes,,,fast_food,
street food,street food,,,,,,,,,,,fast_food,
New Deli,New Deli,,,,,sandwich,no,yes,,,,fast_food,
ביירן מרקט,ביירן מרקט,,,,,,no,,,,,fast_food,
פלאפל נטו,פלאפל נטו,,,,,,,,,,,fast_food,
Kaimak,Kaimak,,,,,,,,,,,fast_food,
The Showroom Bakehouse,The Showroom Bakehouse,,,,,donut;coffee_shop,,,,,,fast_food,
פיצה פרגו,פיצה פרגו,,,,,pizza,,yes,yes,,,fast_food,
Arepita's,Arepita's,,,,,,,,,,,fast_food,
יאשקה,יאשקה,,,,,,,,,,,fast_food,
שווארמה נחלת יצחק,שווארמה נחלת יצחק,,,,,,,,,,,fast_food,
טוניס פיצה ופסטה,"21 רש""י, רמת גן",,,https://tonys.co.il/,,italian,,,yes,,,fast_food,
פלאפל בן חור,פלאפל בן חור,,,,,regional,,,,,,fast_food,
גלירומא בוטיק פיצה,145 דיזנגוף,+972723386908,,http://www.galiromapizza.co.il/,"Mo-Su 16:00-00:00, Fr 12:00-00:00, Sa 17:00-00:00",pizza,,yes,,,,fast_food,
Hummus Eliyahu,Hummus Eliyahu,,,,,,,,,,,fast_food,
בראדלי,בראדלי,,,,,,,,,,,fast_food,
Rolla Tortila Bar,46 כצנלסון,+97237752231,,https://www.facebook.com/rolla.tortillabar/,,mexican;burger,,,,,,fast_food,
Spicy Tortilla Bar,65 בן גוריון,+972 37502883,,,"Mo-Th,Su 12:00-24:00",mexican;burger,,,yes,,,fast_food,
חומוס בהדונס,חומוס בהדונס,,,,,mediterranean,,yes,,yes,,fast_food,
Wok to Walk,Wok to Walk,,,,,asian,,yes,,,,fast_food,
שירוקו פיצה,שירוקו פיצה,,,,,pizza,,,,,,fast_food,
תמרה,תמרה,,,,,juice,,,,,,fast_food,
שייק גוריון,שייק גוריון,,,,,juice,,,,,,fast_food,
Chicken Station,Chicken Station,,,,,chicken,,yes,yes,,,fast_food,
פלאפל דרור,74 ירושלים,,,,,,,,,,,fast_food,
Burgerim,3 כינרת,97235378823,,,,burger,,yes,,,,fast_food,
Brooklyn Pizza,88 המלך ג'ורג',+972 3 902 5040,,,,pizza,,,,,,fast_food,
המוסד לסנדוויצ'ים מיוחדים,"67 אבן גבירול, תל אביב-יפו",+97235629896,,https://hamosadtlv.co.il/,,burger;sandwich,yes,yes,yes,,,fast_food,
Vitrina,"36 אבן גבירול, תל אביב-יפו",+97236960304,,https://www.instagram.com/vitrinush,Mo-We 12:00-23:00; Th 12:00-00:00; Su 12:00-23:00,burger;american,,,,,,fast_food,
Fleishman,16 בר כוכבא,+972 35323335,,https://delifleishman.com,,sandwich,yes,yes,yes,,,fast_food,
B-Fresh,B-Fresh,,,,,juice;smoothie,,,,,,fast_food,
Green Day,Green Day,,,,,sandwich,,,,,,fast_food,
HaBukhari,HaBukhari,,,,,kebab,,,,yes,,fast_food,
סביח פרישמן,"64 אבן גבירול, תל אביב-יפו",,,,,regional,,,,,,fast_food,
קפה שקד,קפה שקד,,,,,pizza,yes,,,no,,fast_food,
פיצה רומה,פיצה רומה,,,,,pizza,yes,,,,,fast_food,
סטיישן מרקט 21,21 בר כוכבא,+972 546929660,,https://www.stationmarket.co.il/he/home,Su-Th 11:00-16:00; Fr 08:00-14:30,regional,,,yes,,,fast_food,
Oh Mama,"26 המלך ג׳ורג׳, תל אביב-יפו",+972 54 816 8618,,https://ohmama.co.il/,Su-Th 10:00-19:00; Fr 08:00-16:30,,,,yes,limited,,fast_food,
מוציה,13 בן גוריון,,,,,italian;italian_pizza;pasta,,,,,,fast_food,
רק מרק,רק מרק,,,,,,,,,,,fast_food,
מטרו בורגר,מטרו בורגר,,,,,,,,,,,fast_food,
פנינת השווארמה,פנינת השווארמה,,,,,,,,,,,fast_food,
PokeShop,PokeShop,,,,,poke,,,,,,fast_food,
דבוש בסר בני ברק,"1 בן גוריון, בני ברק",2327*,,https://www.dabush.co.il,,kebab;regional,,,,,,fast_food,
Igor Meat,Igor Meat,,,,,,,,,,,fast_food,
Burger Station 23,"23 שארית ישראל, תל אביב-יפו",+972 3 743 6353,burgersstation@outlook.com,https://burgersstation23.com,,burger,yes,,,,,fast_food,
רחל בשדרה,רחל בשדרה,+97226644122,,https://saronamarket.co.il/2022/03/07/rahel-beshdera/,,,,,,yes,,fast_food,
השפכטל של רחל,השפכטל של רחל,,,,,sandwich,,,yes,,,fast_food,
Mixi Salad Bar,תל אביב-יפו,+97236206209,,https://mixi.co.il/,,salad,,,yes,,,fast_food,
Bayern Market,Bayern Market,,,https://bayern-market.com/,,german,,,yes,,,fast_food,
Amsterdam Fries,Amsterdam Fries,+97239133274,,,,fries,,,,,,fast_food,
Tandor,Tandor,,,https://tandoortlv.co.il/,,,,,,,,fast_food,
פיצה גרנדה,פיצה גרנדה,,,,,,,,,,,fast_food,
חומוס אליהו,חומוס אליהו,,,,,,,,,,,fast_food,
Twenty Pita Station,Twenty Pita Station,,,https://www.containers-court.com/food/cafelix/,,middle_eastern;regional;pita,yes,,yes,,,fast_food,
מנאל,מנאל,,,,,,,,,,,fast_food,
Rotisserie,Rotisserie,,,,,,,,,,,fast_food,
פיתה בסטה,פיתה בסטה,,,,,,,,,,,fast_food,
Falafel 8,Falafel 8,,,,,,,,,,,fast_food,
מונח רחוב,26 היצירה,,,https://mitbachrehov.co.il,,,,,,,,fast_food,
דומינוס פיצה,דומינוס פיצה,,,,,,,,,,,fast_food,
Benz Brothers,37 אבן גבירול,+972777242085,,https://www.instagram.com/benz.brothers/,,burger;american,,,yes,,,fast_food,
עגבניה,עגבניה,,,,,pizza,,,,,,fast_food,
Meat Bar Burger,3 אלוף קלמן מגן,+972 36956276,,https://www.mbburgers.com,Mo 11:15-22:30; Tu 11:15-22:30; We 11:15-22:30; Th 11:15-22:30; Fr 11:15-16:00; Sa 11:15-22:30; Su 11:15-22:30,burger,,,,,,fast_food,
Meat Bar Burger,67 אבן גבירול,+972 9 744 0400,,https://www.mbburgers.com,,burger,,,yes,,,fast_food,
פולקה,פולקה,,,,,,no,,,,,fast_food,
Marlen Burger,8 מלכי ישראל,+972515008717,,,,burger,,,yes,,,fast_food,
מסבה פול (חומוסיה),18 בן גוריון,+97236132638,,,Mo-Th 11:00-18:00; Fr 12:00-15:00,regional;chicken;hummus,yes,,yes,,,fast_food,
Shi shi,33 אבן גבירול,+972 35753737,,,,,,,yes,,,fast_food,
סודוך,20 קרליבך,,,,,,yes,,,,,fast_food,
מסעדת גלילי,מסעדת גלילי,,,,,,,,,,,fast_food,
מקדונלד'ס,"14 ויצמן, תל אביב-יפו",+972 52 944 0104,,https://www2.mcdonalds.co.il/%D7%90%D7%99%D7%AA%D7%95%D7%A8_%D7%9E%D7%A1%D7%A2%D7%93%D7%94?store_id=104&in=app,Sa-Th 10:00-23:00; Fr 10:00-15:00,burger,yes,yes,yes,yes,,fast_food,
ברגר,"17 אבא אחימאיר, Tel Aviv",+97235790917,,https://bergerbyzorik.co.il/,Su-Th 11:00-22:30; Fr 11:00-17:00; Sa 17:00-22:30,burger,yes,,,yes,,fast_food,
שומשום בר,שומשום בר,1700707724,,https://www.instagram.com/sumsumbar/?hl=en,,salad;regional,,,,,,fast_food,
יאנס,יאנס,,,,,middle_eastern,yes,,,,,fast_food,
הג'חנון של דורון,הג'חנון של דורון,,,,,,yes,,,,,fast_food,
הפרלמנט,הפרלמנט,,,,,,,,,,,fast_food,
גריל street,גריל street,,,,,,,,,,,fast_food,
שווארמה street,שווארמה street,,,,,,,,,,,fast_food,
פאבלה,77 ביאליק,,,,Su-Th 11:00-02:00; Fr 11:00-16:00; Sa 19:00-02:00,burger;sandwich,yes,,yes,,,fast_food,
המפגש,המפגש,,,,,,,,,,,fast_food,
El Barrio,"62 זאב ז'בוטינסקי, רמת גן",,,,Mo-We 12:30-23:00; Th-Fr 12:30-00:00; Sa 12:30-23:00,burger,yes,,,,,fast_food,
Puzzle burger,Puzzle burger,,,,,burger,,,,,,fast_food,
Humus,Humus,,,,,,,,,,,fast_food,
הולשטיין בורגר,הולשטיין בורגר,,,,,,yes,yes,,,,fast_food,
כוכב השניצל,כוכב השניצל,,,,,,,yes,yes,,,fast_food,
GDB Burger,22 In Gabirol,+972503366622,,,"Mo-Th, Sa, Su 12:00-00:00",burger,yes,yes,yes,,,fast_food,
מיכאל באמצע היום,תל אביב,,,,,,yes,yes,,,,fast_food,
Burgerim,Burgerim,,,,,burger,,yes,,,,fast_food,
KFC,1 אלנבי,,,,,chicken,,yes,,yes,,fast_food,
הסימטה,"109 יהודה הלוי, תל אביב-יפו",,,,Su-Th 12:00-22:00; Fr 15:00-23:00,burger,,,,,,fast_food,
עוף בשינקין,עוף בשינקין,,,,,,,,,,,fast_food,
קפטן בורגר,קפטן בורגר,,,,,burger,,,,,,fast_food,
אכרם חומוס,אכרם חומוס,,,,,,yes,,,,,fast_food,
Pizza Yoav,"51 שינקין, תל אביב-יפו",+972 3 726 2813,,http://www.pizzayoav.com,"Su, Mo 10:00-02:00, Tu-Fr 10:00-04:00, Sa 10:00-02:00",pizza,,,yes,,,fast_food,
Silly kid,"48 יונה הנביא, תל אביב-יפו",,,,Su-Sa 11:30+,chicken,yes,yes,yes,,,fast_food,
Ruben,Ruben,,,,,,yes,,,,,fast_food,
Pizza Porto,Pizza Porto,,,,,pizza,,,,,,fast_food,
Shake Shack,69 דיזנגוף,,,https://shakeshack.co.il//,Mo-Su 12:00-00:00,burger,,yes,,,,fast_food,
Schnitzel Company,Schnitzel Company,,,,,sandwich;chicken,,yes,yes,,,fast_food,
New Deli,76 ביאליק,,,,,sandwich,,yes,,,,fast_food,
Lokal Burger,Lokal Burger,,,,,,yes,,,,,fast_food,
פיצה שמש,14 דוידקה,1700709700,service@pizza-shemesh.co.il,https://pizza-shemesh.co.il/,,italian_pizza;pizza,,,,,,fast_food,
אגדה של קבב,אגדה של קבב,+97236333721,,,,,,,,,,fast_food,
Zota Pizza,"19 מאיר יערי, תל אביב",037487414,,https://zotapizza.com/,,pizza;pasta,,,,,,fast_food,
Panino,Panino,,,,,sandwich,no,only,,,,fast_food,
The Little Burger Shop,"68 נחלת בנימין, תל אביב-יפו",+972 50 658 2291,,https://tlbs.co.il/,Su-Th 11:30-00:00; Fr-Sa 12:00-00:00,burger,yes,,yes,,,fast_food,
OSU,OSU,,,,,,only,,,,,fast_food,
עראייס מחנה יהודה,"12 הרצל, תל אביב",+972 3 740 9797,,,,regional,,,yes,,,fast_food,
הינוקא,הינוקא,,,,,,,,,,,fast_food,
Junky Burger,"45 לוינסקי, תל אביב-יפו",+972 3 688 9528,,,"Su-We 11:30-00:00, Th 11:30-01:00, Fr 11:30-18:00, Sa 17:00-01:00",burger,,,yes,,,fast_food,
Pizza Yoav,"10 ויטל חיים, תל אביב-יפו",,,http://www.pizzayoav.com,"Su-Mo 16:00-02:00, Tu 12:00-02:00, We-Fr 12:00-04:00, Sa 12:00-02:00",pizza,,,,,,fast_food,
אליס בר בשר,34 בן גוריון,+972 533919337,,,,shawarma,,,,,,fast_food,
Pizza Pizzot,"20 הרצל, תל אביב-יפו",+972 77 997 4360,,https://pizzottlv.co.il,Su-Th 12:00-00:00; Fr 12:00-17:00; Sa 18:30-00:00,pizza,,,yes,limited,,fast_food,
טורק לחמג'ון,"77 נחלת בנימין, תל אביב-יפו",+972 3 566 1661,,https://turklahmajoun.co.il/,Su-Th 10:00-22:00; Fr 10:00-15:00,turkish,,,yes,yes,,fast_food,
אריסטו food שווארמה,אריסטו food שווארמה,,,,,regional,,,,,,fast_food,
Paris Texas Burger,"4 הרצל, תל אביב-יפו",,,https://www.paristexasil.co.il/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91,,,,,,,,fast_food,
חומוס אליהו,"4 מעון, תל אביב-יפו",+972 3 696 7700,info@humus-eli-yahoo.com,https://www.humus-eli-yahoo.com/restaurants/#tlv-florentine,Su-Th 09:30-19:00; Fr 09:30-14:00,hummus,,,yes,yes,,fast_food,
Carnal,"7 הרב יצחק ידידיה פרנקל, תל אביב-יפו",,,,Su-Sa 12:00-00:00,mexican,yes,,,,,fast_food,
Nivo Grill & Kitchen,"2 ויטל חיים, תל אביב-יפו",,,,Su-Th 11:00-20:00,turkish,yes,,,,,fast_food,
חומוס ביירות,חומוס ביירות,,,,,,,,,,,fast_food,
פיצה בזיליקום,"45 אברבנאל, תל אביב-יפו",+972 3 681 2047,,https://bazzili.com/florentin/,Su-We 11:00-01:00; Th 11:00-04:00,pizza,,,yes,limited,,fast_food,
Domino's,16 זאב ז'בוטינסקי,,,,,pizza,,yes,,,,fast_food,
פיצה ג'וספה,"1 ויטל חיים, תל אביב-יפו",+972 54 592 8244,,,Su-Th 13:00-00:00; Sa (sunset+00:30)-00:00,pizza,,,yes,,,fast_food,
סביח פרישמן,"57 לוינסקי, תל אביב-יפו",,,,,regional,,,yes,,,fast_food,
טוסט לוינסקי,"84 נחלת בנימין, תל אביב-יפו",,,,,,,,,,,fast_food,
בורקס פנסו,"43 לוינסקי, תל אביב-יפו",+972 54 586 6366,,,,,,,,,,fast_food,
הבורקס של אמא,"46 לוינסקי, תל אביב-יפו",+972 3 681 8494,,,,,,,yes,,,fast_food,
Pizza Brooklyn,"45 יהודה הלוי, תל אביב-יפו",+972 3 647 5540,,https://www.brooklynpizza.co.il/,"Su-We 12:00-23:30; Th 12:00-00:30, Sa 12:00-11:30",,,,,,,fast_food,
פיצה סטורי,42 שדרות ירושלים,,,,,italian_pizza;pizza,,,,,,fast_food,
בורקס מיס,בורקס מיס,,,,,,,,,,,fast_food,
Smoked Kitchen,Smoked Kitchen,,,,,,,,,,,fast_food,
Pizza Garage,Pizza Garage,,,,,pizza,no,,,,,fast_food,
Jasmino,Jasmino,,,,,,,,,,,fast_food,
Aywa,23 בר כוכבא,+972 33752178,,,,regional,,,yes,,,fast_food,
סביחה,סביחה,,,,,,,,,,,fast_food,
מפגש שמש,מפגש שמש,,,,,,,,,,,fast_food,
שווארמה אליאס,"4 שונצינו, תל אביב-יפו",,,,,shawarma,,yes,,,Credit Cards,fast_food,
אסתר המלכה,"8 שדרות רוטשילד, תל אביב-יפו",,,,Su-We 12:00-23:00; Th 12:00-02:00; Sa 19:00-00:00,burger,,,,,,fast_food,
Must & Mayo,Must & Mayo,,,,,burger,,,,,,fast_food,
פיתה בשר,פיתה בשר,,,,,,,,,,,fast_food,
רד meat,תל אביב-יפו,,,,,,yes,,,,,fast_food,
השניצליה של עמנואלה,תל אביב-יפו,,,,,,,,,,,fast_food,
Cafe Taizu,"3 אלוף קלמן מגן, תל אביב-יפו",+972 77 938 6244,,https://www.cafetaizu.co.il/cafe-taizu-kosher,Su-Th 11:30-22:00; Fr 11:30-15:00,,,yes,yes,,,fast_food,
Donatello,"10 מקוה ישראל, תל אביב-יפו",1700-509-797,,https://donattelo.co.il/,"Su-We 11:00-03:00, Th 11:00-05:00, Fr 11:00-15:00, Sa (sunset+00:30)-03:00",pizza,,,yes,,,fast_food,
90's Diner,"9 יפת, תל אביב-יפו",+972 3 544 4449,,,"Sa-We 12:00-00:00, Th 12:00-01:00, Fr 12:00-03:00",burger,,yes,yes,,,fast_food,
Carne Bar,"27 שדרות יהודית, תל אביב-יפו",+972 50 936 8492,,https://carnebar.co.il/,Su-Th 10:00-20:00,,yes,,yes,,,fast_food,
פולקלה,"18 הנציב, תל אביב-יפו",+972 3 974 4944,,,Su-Th 12:30-16:30,,,,yes,,,fast_food,
הולשטיין בורגר,"21 אבן גבירול, תל אביב-יפו",+972 54 554 0640,,,,burger,,yes,yes,,,fast_food,
Smash Burger House,"31 שדרות רוטשילד, תל אביב-יפו",+972 77 980 0420,,https://smashb.co.il/,,burger,,yes,yes,,,fast_food,
Wok Sushi 9,"55 יהודה הלוי, תל אביב-יפו",,,,,asian,,,yes,,,fast_food,
Papa John's,"30 לבונטין, תל אביב-יפו",,,https://www.papajohns.co.il/branch/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%9C%D7%91%D7%95%D7%A0%D7%98%D7%99%D7%9F/,Su-Sa 12:00-00:00,pizza,yes,yes,,,,fast_food,
Pizza Domino,Pizza Domino,,,,,pizza,,,,,,fast_food,
בורגר פארק,בורגר פארק,,,https://www.lunapark.co.il/?categoryId=72520&itemId=148293,,,,,,,,fast_food,
