name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Unknown,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Philippe The Original,1001 North Alameda Street,+1 (213) 628-3781,customerservice@philippes.com,https://www.philippes.com/,Mo-Su 06:00-22:00,american,,yes,,yes,Cash,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Cole's P.E. Buffet,"118 East 6th Street, Los Angeles, CA",,,https://www.colesfrenchdip.com/,,,,,,no,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Bottega Louie,Address not available,,,,Sa-Th 07:00-23:00; Fr 07:00-12:00,italian,no,yes,,yes,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Lili Ya,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Restaurant Aoi,"331 E. 1st St., 90012",,,,,japanese,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Daikokuya,"327 E 1st St., US",,,,,japanese,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Great Thai,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Yard House,"800 West Olympic Boulevard, Los Angeles, CA, 90015",,,,"Su-Th 11:00-24:00, Fr,Sa 11:00-01:00",american,,,,yes,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Drago Centro,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Ciudad,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Wokcano,Address not available,,,https://www.wokcanorestaurant.com/,,asian,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Wolfgang Puck,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Cafe Pinot,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Daily Grill,Address not available,,,,,american,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
The Counter,Address not available,,,,,burger,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Izakaya Gazen,362 East 1st Street,,,,,japanese,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Original Pantry Cafe,Address not available,,,,24/7,american,no,yes,,yes,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Purgatory Pizza,Address not available,,,https://www.eatpurgatorypizza.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
Empress Pavilion,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",restaurant,
