name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Wineberg,Wineberg,,,,,,,,,,,bar,
BubaMara,BubaMara,,,,,,,,,,,bar,
Kermeet,18 שדרות הילד,+972-3-622-2088,,,,,,,,,,bar,
ברלין בפלורנטין,"1 ויטל חיים, ויטל",,,,,,,,,,,bar,
Geula,51 גאולה,,,,,,,,,,,bar,
יודה,תל אביב-יפו,,,https://he-il.facebook.com/Yuda.Pub.Bar,,,yes,,,,,bar,
Pussycat Lounge,3 Kaf Gimel Yordei HaSira St.,,,,,,,,,,,bar,
Grace O'malley,52 הירקון,+972775024500,,,Mo-Su 12:00-?,irish,,,,,,bar,
Coffee Bar Olive,Coffee Bar Olive,,,,,,,,,,,bar,
spicehaus,117 דיזנגוף,,,,Mo-Su 06:00-15:00,,,,,,,bar,
sputnik bar,122 אלנבי,,,,Mo-Su 19:00-06:00,,,,,,,bar,
The Prince,"18 נחלת בנימין, תל אביב-יפו",+972 58 606 1818,,,"Su-Th 17:00-01:00, Fr 12:00-18:00, Sa 12:00-01:00",,yes,,,limited,,bar,
פיקוק,פיקוק,,,,,,,,,limited,,bar,
October Bar,60 אחד העם,,,,,,,,,,,bar,
LaLa Land,LaLa Land,,,,,,,,,,,bar,
Beer Garden,2 ריינס,+972524606616,,,,,,,,,,bar,
מוזנר,"51 אחד העם, Tel Aviv, 65206",+972-3-620-5573,,https://www.facebook.com/armadilobar,Mo-Su 06:30-02:00,,,,,,,bar,
קפה נוגה,קפה נוגה,,,,,,,,,,,bar,
קרלטון על הים,קרלטון על הים,,,http://www.carlton.co.il/,,,,,,,,bar,
Post Cafe,22 המלך ג'ורג',,,,,,,,,,,bar,
ברברה ביפו,3 ירושלים,,,,"Mo-Su 00:00-01:00,08:00-24:00; Fr 00:00-01:00,08:00-17:30; Sa 19:45-24:00",,,,,,,bar,
פיצ'רס,3 בת עמי,,,,,,yes,,,yes,,bar,
AbraXas,"40 לילינבלום, תל אביב",+972-3-510-4435,,https://www.facebook.com/abraxastelaviv,,,,,,,,bar,
מיידל'ה,40 פלורנטין,+972507648193,,,,,,,,yes,,bar,
Frenkel 13,13 פרנקל ידידיה,+972544467169,,https://www.facebook.com/Frenkel13,"Mo-Su 00:00-05:00,21:00-24:00",,,,,,,bar,
Perla,תל אביב-יפו,+972 3 682 3823,perllabar@gmail.com,https://perlabar.com/,Su-We 12:00-00:00; Th 12:00-01:00; Fr 12:00-18:00; Sa 12:00-00:00,,,,,,,bar,
