name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
Casey's Irish,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Down and Out,"501 South Spring Street, Los Angeles, CA, 90013, US",,,,,,,,,yes,,OpenStreetMap,"34.0536909, -118.242766",pub,
Jardin des Tuileries,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
The New Jalisco Bar,Address not available,,,https://new-jalisco-bar-the.hub.biz/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Button Mash,"1391 Sunset Boulevard, Los Angeles, CA, 90026",+1 213 250 9903,,http://buttonmashla.com/,Mo off; Tu-Th 17:00-24:00; Fr 17:00-02:00; Sa 13:00-02:00; Su 13:00-24:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Rhythm Room,"206 West 6th Street, Los Angeles, CA, 90014, US",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Highland Park Brewery Chinatown,"1220 North Spring Street, Los Angeles, CA, 90012",+1 213 878-9017,main@hpb.la,https://hpb.la,Mo-Th 16:00-23:00; Sa 12:00-24:00; Su 12:00-23:00,,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Tom's Watch Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Homebound Brewhaus,"800 North Alameda Street, Los Angeles, CA, 90012",,,https://www.homeboundbrewhaus.com/,,,,,,yes,,OpenStreetMap,"34.0536909, -118.242766",pub,
Golden Road Brewery,"317 South Broadway, Los Angeles, CA, 90013",+1-213-628-3336,,https://www.goldenroad.la,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Dublin's Irish Whiskey Pub,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
The Douglas,Address not available,,,,,,yes,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
33 Taps,Address not available,,,https://www.eatdrink33.com/location/downtown-la/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Boomtown Brewery,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Villians Tavern,"1356 Palmetto Street, 90013",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
Angel City Brewery,"216 South Alameda Street, Los Angeles, 90013",(213) 622-1261,,www.angelcitybrewery.com,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",pub,
La Cita,"336 South Hill Street, Los Angeles, CA, 90013",,,,,,,,,limited,,OpenStreetMap,"34.0536909, -118.242766",pub,
